"","Area","strain","time"
"1",305,"wild-type","150 min"
"2",245,"wild-type","150 min"
"3",359,"wild-type","150 min"
"4",398,"wild-type","150 min"
"5",326,"wild-type","150 min"
"6",242,"wild-type","150 min"
"7",458,"wild-type","150 min"
"8",375,"wild-type","150 min"
"9",277,"wild-type","150 min"
"10",259,"wild-type","150 min"
"11",416,"wild-type","150 min"
"12",279,"wild-type","150 min"
"13",294,"wild-type","150 min"
"14",565,"wild-type","150 min"
"15",333,"wild-type","150 min"
"16",326,"wild-type","150 min"
"17",298,"wild-type","150 min"
"18",380,"wild-type","150 min"
"19",408,"wild-type","150 min"
"20",477,"wild-type","150 min"
"21",407,"wild-type","150 min"
"22",221,"wild-type","150 min"
"23",486,"wild-type","150 min"
"24",588,"wild-type","150 min"
"25",237,"wild-type","150 min"
"26",351,"wild-type","150 min"
"27",229,"wild-type","150 min"
"28",423,"wild-type","150 min"
"29",316,"wild-type","150 min"
"30",211,"wild-type","150 min"
"31",501,"wild-type","150 min"
"32",241,"wild-type","150 min"
"33",349,"wild-type","150 min"
"34",258,"wild-type","150 min"
"35",205,"wild-type","150 min"
"36",232,"wild-type","150 min"
"37",449,"wild-type","150 min"
"38",241,"wild-type","150 min"
"39",368,"wild-type","150 min"
"40",412,"wild-type","150 min"
"41",167,"wild-type","150 min"
"42",306,"wild-type","150 min"
"43",337,"wild-type","150 min"
"44",695,"wild-type","150 min"
"45",263,"wild-type","150 min"
"46",347,"wild-type","150 min"
"47",274,"wild-type","150 min"
"48",161,"wild-type","150 min"
"49",370,"wild-type","150 min"
"50",192,"wild-type","150 min"
"51",281,"wild-type","150 min"
"52",487,"wild-type","150 min"
"53",291,"wild-type","150 min"
"54",336,"wild-type","150 min"
"55",279,"wild-type","150 min"
"56",185,"wild-type","150 min"
"57",241,"wild-type","150 min"
"58",356,"wild-type","150 min"
"59",420,"wild-type","150 min"
"60",275,"wild-type","150 min"
"61",307,"wild-type","150 min"
"62",364,"wild-type","150 min"
"63",202,"wild-type","150 min"
"64",189,"wild-type","150 min"
"65",194,"wild-type","150 min"
"66",237,"wild-type","150 min"
"67",483,"wild-type","150 min"
"68",425,"wild-type","150 min"
"69",560,"wild-type","150 min"
"70",234,"wild-type","150 min"
"71",247,"wild-type","150 min"
"72",452,"wild-type","150 min"
"73",302,"wild-type","150 min"
"74",330,"wild-type","150 min"
