date	plate	well	time	od
2018-01-30	1	B2	0.0	0.0462
2018-01-30	1	B2	96.3167	0.0557
2018-01-30	1	B2	164.65	0.0609
2018-01-30	1	B2	241.45	0.078
2018-01-30	1	B2	323.8	0.1266
2018-01-30	1	B2	387.4333	0.2276
2018-01-30	1	B2	451.4333	0.4184
2018-01-30	1	B2	532.8	0.5075
2018-01-30	1	B2	641.5167	0.5495
2018-01-30	1	B2	818.6333	0.6024
2018-01-30	1	B4	0.0	0.0506
2018-01-30	1	B4	96.3167	0.0553
2018-01-30	1	B4	164.65	0.056
2018-01-30	1	B4	241.45	0.0569
2018-01-30	1	B4	323.8	0.0568
2018-01-30	1	B4	387.4333	0.057
2018-01-30	1	B4	451.4333	0.0568
2018-01-30	1	B4	532.8	0.0572
2018-01-30	1	B4	641.5167	0.0563
2018-01-30	1	B4	818.6333	0.0568
2018-01-30	1	B6	0.0	0.0464
2018-01-30	1	B6	96.3167	0.0579
2018-01-30	1	B6	164.65	0.0657
2018-01-30	1	B6	241.45	0.095
2018-01-30	1	B6	323.8	0.1891
2018-01-30	1	B6	387.4333	0.3534
2018-01-30	1	B6	451.4333	0.5109
2018-01-30	1	B6	532.8	0.5391
2018-01-30	1	B6	641.5167	0.5777
2018-01-30	1	B6	818.6333	0.6254
2018-01-30	1	B8	0.0	0.0395
2018-01-30	1	B8	96.3167	0.0575
2018-01-30	1	B8	164.65	0.062
2018-01-30	1	B8	241.45	0.0752
2018-01-30	1	B8	323.8	0.1149
2018-01-30	1	B8	387.4333	0.1991
2018-01-30	1	B8	451.4333	0.369
2018-01-30	1	B8	532.8	0.503
2018-01-30	1	B8	641.5167	0.5447
2018-01-30	1	B8	818.6333	0.5929
2018-01-30	1	C2	0.0	0.0431
2018-01-30	1	C2	96.3167	0.0564
2018-01-30	1	C2	164.65	0.0608
2018-01-30	1	C2	241.45	0.0747
2018-01-30	1	C2	323.8	0.1142
2018-01-30	1	C2	387.4333	0.1969
2018-01-30	1	C2	451.4333	0.3635
2018-01-30	1	C2	532.8	0.5106
2018-01-30	1	C2	641.5167	0.5527
2018-01-30	1	C2	818.6333	0.6078
2018-01-30	1	C4	0.0	0.0413
2018-01-30	1	C4	96.3167	0.0561
2018-01-30	1	C4	164.65	0.0571
2018-01-30	1	C4	241.45	0.0578
2018-01-30	1	C4	323.8	0.0577
2018-01-30	1	C4	387.4333	0.058
2018-01-30	1	C4	451.4333	0.0579
2018-01-30	1	C4	532.8	0.0583
2018-01-30	1	C4	641.5167	0.0574
2018-01-30	1	C4	818.6333	0.0577
2018-01-30	1	C6	0.0	0.0432
2018-01-30	1	C6	96.3167	0.0577
2018-01-30	1	C6	164.65	0.0641
2018-01-30	1	C6	241.45	0.0884
2018-01-30	1	C6	323.8	0.1684
2018-01-30	1	C6	387.4333	0.3151
2018-01-30	1	C6	451.4333	0.5074
2018-01-30	1	C6	532.8	0.5404
2018-01-30	1	C6	641.5167	0.5809
2018-01-30	1	C6	818.6333	0.6293
2018-01-30	1	C8	0.0	0.048
2018-01-30	1	C8	96.3167	0.0591
2018-01-30	1	C8	164.65	0.0637
2018-01-30	1	C8	241.45	0.0771
2018-01-30	1	C8	323.8	0.1171
2018-01-30	1	C8	387.4333	0.2014
2018-01-30	1	C8	451.4333	0.3722
2018-01-30	1	C8	532.8	0.5143
2018-01-30	1	C8	641.5167	0.5563
2018-01-30	1	C8	818.6333	0.6051
2018-01-30	1	D2	0.0	0.0432
2018-01-30	1	D2	96.3167	0.0561
2018-01-30	1	D2	164.65	0.06
2018-01-30	1	D2	241.45	0.0733
2018-01-30	1	D2	323.8	0.1101
2018-01-30	1	D2	387.4333	0.1876
2018-01-30	1	D2	451.4333	0.345
2018-01-30	1	D2	532.8	0.4913
2018-01-30	1	D2	641.5167	0.5328
2018-01-30	1	D2	818.6333	0.5855
2018-01-30	1	D4	0.0	0.062
2018-01-30	1	D4	96.3167	0.0554
2018-01-30	1	D4	164.65	0.056
2018-01-30	1	D4	241.45	0.0566
2018-01-30	1	D4	323.8	0.057
2018-01-30	1	D4	387.4333	0.0571
2018-01-30	1	D4	451.4333	0.057
2018-01-30	1	D4	532.8	0.0568
2018-01-30	1	D4	641.5167	0.0564
2018-01-30	1	D4	818.6333	0.0573
2018-01-30	1	D6	0.0	0.0433
2018-01-30	1	D6	96.3167	0.0572
2018-01-30	1	D6	164.65	0.0628
2018-01-30	1	D6	241.45	0.0843
2018-01-30	1	D6	323.8	0.1553
2018-01-30	1	D6	387.4333	0.2901
2018-01-30	1	D6	451.4333	0.4876
2018-01-30	1	D6	532.8	0.5228
2018-01-30	1	D6	641.5167	0.5626
2018-01-30	1	D6	818.6333	0.6103
2018-01-30	1	D8	0.0	0.0445
2018-01-30	1	D8	96.3167	0.0577
2018-01-30	1	D8	164.65	0.0627
2018-01-30	1	D8	241.45	0.0787
2018-01-30	1	D8	323.8	0.1266
2018-01-30	1	D8	387.4333	0.2253
2018-01-30	1	D8	451.4333	0.4149
2018-01-30	1	D8	532.8	0.4975
2018-01-30	1	D8	641.5167	0.5394
2018-01-30	1	D8	818.6333	0.587
