well,strain,genotype,genotype_serA,medium,replicate,plate
B2,ecMK85,WT,WT,rich_5mM,1,1
C2,ecMK85,WT,WT,rich_5mM,2,1
D2,ecMK85,WT,WT,rich_5mM,3,1
E2,ecMK94,WT,serA,rich_5mM,1,1
F2,ecMK94,WT,serA,rich_5mM,2,1
G2,ecMK94,WT,serA,rich_5mM,3,1
B4,ecMK101,sdaA,WT,rich_5mM,1,1
C4,ecMK101,sdaA,WT,rich_5mM,2,1
D4,ecMK101,sdaA,WT,rich_5mM,3,1
E4,ecMK105,sdaA,serA,rich_5mM,1,1
F4,ecMK105,sdaA,serA,rich_5mM,2,1
G4,ecMK105,sdaA,serA,rich_5mM,3,1
B6,ecMK102,sdaCB,WT,rich_5mM,1,1
C6,ecMK102,sdaCB,WT,rich_5mM,2,1
D6,ecMK102,sdaCB,WT,rich_5mM,3,1
E6,ecMK106,sdaCB,serA,rich_5mM,1,1
F6,ecMK106,sdaCB,serA,rich_5mM,2,1
G6,ecMK106,sdaCB,serA,rich_5mM,3,1
B8,ecMK210,tdcG,WT,rich_5mM,1,1
C8,ecMK210,tdcG,WT,rich_5mM,2,1
D8,ecMK210,tdcG,WT,rich_5mM,3,1
E8,ecMK211,tdcG,serA,rich_5mM,1,1
F8,ecMK211,tdcG,serA,rich_5mM,2,1
G8,ecMK211,tdcG,serA,rich_5mM,3,1
