date	plate	well	time	od
2018-01-29	1	B2	0.0	0.0404
2018-01-29	1	B2	89.9167	0.0995
2018-01-29	1	B2	128.4333	0.2123
2018-01-29	1	B2	163.5	0.3817
2018-01-29	1	B2	201.2667	0.6147
2018-01-29	1	B2	234.9667	0.6953
2018-01-29	1	B2	279.6833	0.7565
2018-01-29	1	B2	329.3	0.8117
2018-01-29	1	B2	383.0	0.8693
2018-01-29	1	B4	0.0	0.0454
2018-01-29	1	B4	89.9167	0.1022
2018-01-29	1	B4	128.4333	0.2267
2018-01-29	1	B4	163.5	0.3984
2018-01-29	1	B4	201.2667	0.6347
2018-01-29	1	B4	234.9667	0.7012
2018-01-29	1	B4	279.6833	0.7605
2018-01-29	1	B4	329.3	0.8209
2018-01-29	1	B4	383.0	0.8822
2018-01-29	1	B6	0.0	0.0434
2018-01-29	1	B6	89.9167	0.1007
2018-01-29	1	B6	128.4333	0.2301
2018-01-29	1	B6	163.5	0.4167
2018-01-29	1	B6	201.2667	0.6416
2018-01-29	1	B6	234.9667	0.6673
2018-01-29	1	B6	279.6833	0.6982
2018-01-29	1	B6	329.3	0.694
2018-01-29	1	B6	383.0	0.6843
2018-01-29	1	B8	0.0	0.0427
2018-01-29	1	B8	89.9167	0.1062
2018-01-29	1	B8	128.4333	0.2383
2018-01-29	1	B8	163.5	0.4079
2018-01-29	1	B8	201.2667	0.6409
2018-01-29	1	B8	234.9667	0.7042
2018-01-29	1	B8	279.6833	0.7562
2018-01-29	1	B8	329.3	0.7997
2018-01-29	1	B8	383.0	0.8414
2018-01-29	1	C2	0.0	0.041
2018-01-29	1	C2	89.9167	0.101
2018-01-29	1	C2	128.4333	0.2154
2018-01-29	1	C2	163.5	0.3866
2018-01-29	1	C2	201.2667	0.6187
2018-01-29	1	C2	234.9667	0.6962
2018-01-29	1	C2	279.6833	0.7589
2018-01-29	1	C2	329.3	0.8171
2018-01-29	1	C2	383.0	0.8749
2018-01-29	1	C4	0.0	0.0526
2018-01-29	1	C4	89.9167	0.1086
2018-01-29	1	C4	128.4333	0.2402
2018-01-29	1	C4	163.5	0.4221
2018-01-29	1	C4	201.2667	0.6429
2018-01-29	1	C4	234.9667	0.7018
2018-01-29	1	C4	279.6833	0.7555
2018-01-29	1	C4	329.3	0.7996
2018-01-29	1	C4	383.0	0.84
2018-01-29	1	C6	0.0	0.0428
2018-01-29	1	C6	89.9167	0.0969
2018-01-29	1	C6	128.4333	0.2164
2018-01-29	1	C6	163.5	0.4021
2018-01-29	1	C6	201.2667	0.6277
2018-01-29	1	C6	234.9667	0.6649
2018-01-29	1	C6	279.6833	0.699
2018-01-29	1	C6	329.3	0.6957
2018-01-29	1	C6	383.0	0.6851
2018-01-29	1	C8	0.0	0.0458
2018-01-29	1	C8	89.9167	0.1078
2018-01-29	1	C8	128.4333	0.2417
2018-01-29	1	C8	163.5	0.411
2018-01-29	1	C8	201.2667	0.6432
2018-01-29	1	C8	234.9667	0.7059
2018-01-29	1	C8	279.6833	0.7586
2018-01-29	1	C8	329.3	0.8018
2018-01-29	1	C8	383.0	0.8436
2018-01-29	1	D2	0.0	0.0398
2018-01-29	1	D2	89.9167	0.0952
2018-01-29	1	D2	128.4333	0.2002
2018-01-29	1	D2	163.5	0.3626
2018-01-29	1	D2	201.2667	0.5973
2018-01-29	1	D2	234.9667	0.6852
2018-01-29	1	D2	279.6833	0.7517
2018-01-29	1	D2	329.3	0.8203
2018-01-29	1	D2	383.0	0.8841
2018-01-29	1	D4	0.0	0.0464
2018-01-29	1	D4	89.9167	0.0941
2018-01-29	1	D4	128.4333	0.2041
2018-01-29	1	D4	163.5	0.3649
2018-01-29	1	D4	201.2667	0.6
2018-01-29	1	D4	234.9667	0.6822
2018-01-29	1	D4	279.6833	0.7463
2018-01-29	1	D4	329.3	0.811
2018-01-29	1	D4	383.0	0.8741
2018-01-29	1	D6	0.0	0.0418
2018-01-29	1	D6	89.9167	0.1034
2018-01-29	1	D6	128.4333	0.2375
2018-01-29	1	D6	163.5	0.4229
2018-01-29	1	D6	201.2667	0.646
2018-01-29	1	D6	234.9667	0.6667
2018-01-29	1	D6	279.6833	0.701
2018-01-29	1	D6	329.3	0.6947
2018-01-29	1	D6	383.0	0.6837
2018-01-29	1	D8	0.0	0.0438
2018-01-29	1	D8	89.9167	0.1038
2018-01-29	1	D8	128.4333	0.2273
2018-01-29	1	D8	163.5	0.3937
2018-01-29	1	D8	201.2667	0.6243
2018-01-29	1	D8	234.9667	0.6877
2018-01-29	1	D8	279.6833	0.7443
2018-01-29	1	D8	329.3	0.7929
2018-01-29	1	D8	383.0	0.8413
2018-01-29	1	E2	0.0	0.0451
2018-01-29	1	E2	89.9167	0.0668
2018-01-29	1	E2	128.4333	0.1221
2018-01-29	1	E2	163.5	0.2049
2018-01-29	1	E2	201.2667	0.2177
2018-01-29	1	E2	234.9667	0.2229
2018-01-29	1	E2	279.6833	0.2271
2018-01-29	1	E2	329.3	0.2285
2018-01-29	1	E2	383.0	0.2298
2018-01-29	1	E4	0.0	0.0477
2018-01-29	1	E4	89.9167	0.0699
2018-01-29	1	E4	128.4333	0.1328
2018-01-29	1	E4	163.5	0.212
2018-01-29	1	E4	201.2667	0.222
2018-01-29	1	E4	234.9667	0.2246
2018-01-29	1	E4	279.6833	0.2261
2018-01-29	1	E4	329.3	0.227
2018-01-29	1	E4	383.0	0.2276
2018-01-29	1	E6	0.0	0.0453
