time	well	yfp	od
2967	A1	34	0.0394
2967	B1	36	0.039700001
2967	C1	36	0.039700001
2967	D1	33	0.039700001
2967	E1	33	0.037500001
2967	F1	36	0.038400002
2967	G1	36	0.039099999
2967	H1	37	0.0385
2967	A2	36	0.037799999
2967	B2	32	0.038400002
2967	C2	32	0.038199998
2967	D2	35	0.038800001
2967	E2	32	0.038800001
2967	F2	35	0.039299998
2967	G2	33	0.039500002
2967	H2	39	0.039999999
2967	A3	37	0.038800001
2967	B3	35	0.039900001
2967	C3	33	0.0381
2967	D3	33	0.039900001
2967	E3	35	0.038199998
2967	F3	36	0.0383
2967	G3	35	0.039799999
2967	H3	36	0.0407
2967	A4	36	0.038800001
2967	B4	36	0.156800002
2967	C4	37	0.158199996
2967	D4	36	0.142199993
2967	E4	36	0.163599998
2967	F4	7359	0.147799999
2967	G4	1551	0.121399999
2967	H4	34	0.0392
2967	A5	33	0.039099999
2967	B5	40	0.101400003
2967	C5	38	0.100900002
2967	D5	41	0.095799997
2967	E5	40	0.103799999
2967	F5	5570	0.100299999
2967	G5	1531	0.105899997
2967	H5	38	0.038800001
2967	A6	34	0.038699999
2967	B6	38	0.130099997
2967	C6	38	0.134499997
2967	D6	35	0.124799997
2967	E6	39	0.132699996
2967	F6	6435	0.123400003
2967	G6	1515	0.1105
2967	H6	34	0.038899999
2967	A7	36	0.038800001
2967	B7	40	0.170300007
2967	C7	37	0.175500005
2967	D7	40	0.0625
2967	E7	43	0.063699998
2967	F7	1259	0.062899999
2967	G7	156	0.0638
2967	H7	36	0.039900001
2967	A8	36	0.0381
2967	B8	40	0.113200001
2967	C8	41	0.113700002
2967	D8	44	0.064800002
2967	E8	45	0.063000001
2967	F8	1458	0.065099999
2967	G8	157	0.0638
2967	H8	34	0.039999999
2967	A9	35	0.038899999
2967	B9	42	0.128099993
2967	C9	40	0.135199994
2967	D9	45	0.059099998
2967	E9	45	0.057799999
2967	F9	1318	0.063600004
2967	G9	160	0.063900001
2967	H9	35	0.039099999
2967	A10	34	0.039099999
2967	B10	34	0.039299998
2967	C10	36	0.038899999
2967	D10	33	0.040199999
2967	E10	34	0.038199998
