well,strain,genotype_serA,genotype,expt_medium,serine_mM,glucose,replicate,plate
B2,ecMK85,WT,WT,rich_glucose,0,0.025,1,1
B3,ecMK85,WT,WT,rich_glucose,0,0.1,1,1
B4,ecMK85,WT,WT,rich_glucose,0,0.5,1,1
B5,ecMK85,WT,WT,rich_glucose,3,0.025,1,1
B6,ecMK85,WT,WT,rich_glucose,3,0.1,1,1
B7,ecMK85,WT,WT,rich_glucose,3,0.5,1,1
B8,ecMK85,WT,WT,rich_glucose,10,0.025,1,1
B9,ecMK85,WT,WT,rich_glucose,10,0.1,1,1
B10,ecMK85,WT,WT,rich_glucose,10,0.5,1,1
C2,ecMK85,WT,WT,rich_glucose,0,0.025,2,1
C3,ecMK85,WT,WT,rich_glucose,0,0.1,2,1
C4,ecMK85,WT,WT,rich_glucose,0,0.5,2,1
C5,ecMK85,WT,WT,rich_glucose,3,0.025,2,1
C6,ecMK85,WT,WT,rich_glucose,3,0.1,2,1
C7,ecMK85,WT,WT,rich_glucose,3,0.5,2,1
C8,ecMK85,WT,WT,rich_glucose,10,0.025,2,1
C9,ecMK85,WT,WT,rich_glucose,10,0.1,2,1
C10,ecMK85,WT,WT,rich_glucose,10,0.5,2,1
D2,ecMK85,WT,WT,rich_glucose,0,0.025,3,1
D3,ecMK85,WT,WT,rich_glucose,0,0.1,3,1
D4,ecMK85,WT,WT,rich_glucose,0,0.5,3,1
D5,ecMK85,WT,WT,rich_glucose,3,0.025,3,1
D6,ecMK85,WT,WT,rich_glucose,3,0.1,3,1
D7,ecMK85,WT,WT,rich_glucose,3,0.5,3,1
D8,ecMK85,WT,WT,rich_glucose,10,0.025,3,1
D9,ecMK85,WT,WT,rich_glucose,10,0.1,3,1
D10,ecMK85,WT,WT,rich_glucose,10,0.5,3,1
E2,ecMK94,serA,WT,rich_glucose,0,0.025,1,1
E3,ecMK94,serA,WT,rich_glucose,0,0.1,1,1
E4,ecMK94,serA,WT,rich_glucose,0,0.5,1,1
E5,ecMK94,serA,WT,rich_glucose,3,0.025,1,1
E6,ecMK94,serA,WT,rich_glucose,3,0.1,1,1
E7,ecMK94,serA,WT,rich_glucose,3,0.5,1,1
E8,ecMK94,serA,WT,rich_glucose,10,0.025,1,1
E9,ecMK94,serA,WT,rich_glucose,10,0.1,1,1
E10,ecMK94,serA,WT,rich_glucose,10,0.5,1,1
F2,ecMK94,serA,WT,rich_glucose,0,0.025,2,1
F3,ecMK94,serA,WT,rich_glucose,0,0.1,2,1
F4,ecMK94,serA,WT,rich_glucose,0,0.5,2,1
F5,ecMK94,serA,WT,rich_glucose,3,0.025,2,1
F6,ecMK94,serA,WT,rich_glucose,3,0.1,2,1
F7,ecMK94,serA,WT,rich_glucose,3,0.5,2,1
F8,ecMK94,serA,WT,rich_glucose,10,0.025,2,1
F9,ecMK94,serA,WT,rich_glucose,10,0.1,2,1
F10,ecMK94,serA,WT,rich_glucose,10,0.5,2,1
G2,ecMK94,serA,WT,rich_glucose,0,0.025,3,1
G3,ecMK94,serA,WT,rich_glucose,0,0.1,3,1
G4,ecMK94,serA,WT,rich_glucose,0,0.5,3,1
G5,ecMK94,serA,WT,rich_glucose,3,0.025,3,1
G6,ecMK94,serA,WT,rich_glucose,3,0.1,3,1
G7,ecMK94,serA,WT,rich_glucose,3,0.5,3,1
G8,ecMK94,serA,WT,rich_glucose,10,0.025,3,1
G9,ecMK94,serA,WT,rich_glucose,10,0.1,3,1
G10,ecMK94,serA,WT,rich_glucose,10,0.5,3,1
B2,ecMK102,WT,sdaCB,rich_glucose,0,0.025,1,2
B3,ecMK102,WT,sdaCB,rich_glucose,0,0.1,1,2
B4,ecMK102,WT,sdaCB,rich_glucose,0,0.5,1,2
B5,ecMK102,WT,sdaCB,rich_glucose,3,0.025,1,2
B6,ecMK102,WT,sdaCB,rich_glucose,3,0.1,1,2
B7,ecMK102,WT,sdaCB,rich_glucose,3,0.5,1,2
B8,ecMK102,WT,sdaCB,rich_glucose,10,0.025,1,2
B9,ecMK102,WT,sdaCB,rich_glucose,10,0.1,1,2
B10,ecMK102,WT,sdaCB,rich_glucose,10,0.5,1,2
C2,ecMK102,WT,sdaCB,rich_glucose,0,0.025,2,2
C3,ecMK102,WT,sdaCB,rich_glucose,0,0.1,2,2
C4,ecMK102,WT,sdaCB,rich_glucose,0,0.5,2,2
C5,ecMK102,WT,sdaCB,rich_glucose,3,0.025,2,2
C6,ecMK102,WT,sdaCB,rich_glucose,3,0.1,2,2
C7,ecMK102,WT,sdaCB,rich_glucose,3,0.5,2,2
C8,ecMK102,WT,sdaCB,rich_glucose,10,0.025,2,2
C9,ecMK102,WT,sdaCB,rich_glucose,10,0.1,2,2
C10,ecMK102,WT,sdaCB,rich_glucose,10,0.5,2,2
D2,ecMK102,WT,sdaCB,rich_glucose,0,0.025,3,2
D3,ecMK102,WT,sdaCB,rich_glucose,0,0.1,3,2
D4,ecMK102,WT,sdaCB,rich_glucose,0,0.5,3,2
D5,ecMK102,WT,sdaCB,rich_glucose,3,0.025,3,2
D6,ecMK102,WT,sdaCB,rich_glucose,3,0.1,3,2
D7,ecMK102,WT,sdaCB,rich_glucose,3,0.5,3,2
D8,ecMK102,WT,sdaCB,rich_glucose,10,0.025,3,2
D9,ecMK102,WT,sdaCB,rich_glucose,10,0.1,3,2
D10,ecMK102,WT,sdaCB,rich_glucose,10,0.5,3,2
E2,ecMK106,serA,sdaCB,rich_glucose,0,0.025,1,2
E3,ecMK106,serA,sdaCB,rich_glucose,0,0.1,1,2
E4,ecMK106,serA,sdaCB,rich_glucose,0,0.5,1,2
E5,ecMK106,serA,sdaCB,rich_glucose,3,0.025,1,2
E6,ecMK106,serA,sdaCB,rich_glucose,3,0.1,1,2
E7,ecMK106,serA,sdaCB,rich_glucose,3,0.5,1,2
E8,ecMK106,serA,sdaCB,rich_glucose,10,0.025,1,2
E9,ecMK106,serA,sdaCB,rich_glucose,10,0.1,1,2
E10,ecMK106,serA,sdaCB,rich_glucose,10,0.5,1,2
F2,ecMK106,serA,sdaCB,rich_glucose,0,0.025,2,2
F3,ecMK106,serA,sdaCB,rich_glucose,0,0.1,2,2
F4,ecMK106,serA,sdaCB,rich_glucose,0,0.5,2,2
F5,ecMK106,serA,sdaCB,rich_glucose,3,0.025,2,2
F6,ecMK106,serA,sdaCB,rich_glucose,3,0.1,2,2
F7,ecMK106,serA,sdaCB,rich_glucose,3,0.5,2,2
F8,ecMK106,serA,sdaCB,rich_glucose,10,0.025,2,2
F9,ecMK106,serA,sdaCB,rich_glucose,10,0.1,2,2
F10,ecMK106,serA,sdaCB,rich_glucose,10,0.5,2,2
G2,ecMK106,serA,sdaCB,rich_glucose,0,0.025,3,2
G3,ecMK106,serA,sdaCB,rich_glucose,0,0.1,3,2
G4,ecMK106,serA,sdaCB,rich_glucose,0,0.5,3,2
G5,ecMK106,serA,sdaCB,rich_glucose,3,0.025,3,2
G6,ecMK106,serA,sdaCB,rich_glucose,3,0.1,3,2
