date	plate	well	time	od
2017-06-30	1	B10	0.0	0.0438
2017-06-30	1	B10	73.7667	0.0749
2017-06-30	1	B10	111.8	0.1566
2017-06-30	1	B10	150.3833	0.3508
2017-06-30	1	B10	190.0333	0.524
2017-06-30	1	B10	222.5333	0.6559
2017-06-30	1	B10	290.0	0.761
2017-06-30	1	B10	342.5667	0.7854
2017-06-30	1	B10	396.0833	0.7887
2017-06-30	1	B10	468.55	0.7838
2017-06-30	1	B2	0.0	0.0662
2017-06-30	1	B2	73.7667	0.1228
2017-06-30	1	B2	111.8	0.1501
2017-06-30	1	B2	150.3833	0.1933
2017-06-30	1	B2	190.0333	0.2169
2017-06-30	1	B2	222.5333	0.2437
2017-06-30	1	B2	290.0	0.3061
2017-06-30	1	B2	342.5667	0.3215
2017-06-30	1	B2	396.0833	0.3254
2017-06-30	1	B2	468.55	0.3319
2017-06-30	1	B3	0.0	0.0423
2017-06-30	1	B3	73.7667	0.0782
2017-06-30	1	B3	111.8	0.1573
2017-06-30	1	B3	150.3833	0.3855
2017-06-30	1	B3	190.0333	0.4479
2017-06-30	1	B3	222.5333	0.488
2017-06-30	1	B3	290.0	0.5325
2017-06-30	1	B3	342.5667	0.5923
2017-06-30	1	B3	396.0833	0.5894
2017-06-30	1	B3	468.55	0.5776
2017-06-30	1	B4	0.0	0.0505
2017-06-30	1	B4	73.7667	0.0771
2017-06-30	1	B4	111.8	0.1536
2017-06-30	1	B4	150.3833	0.3805
2017-06-30	1	B4	190.0333	0.5327
2017-06-30	1	B4	222.5333	0.6706
2017-06-30	1	B4	290.0	0.72
2017-06-30	1	B4	342.5667	0.7115
2017-06-30	1	B4	396.0833	0.7033
2017-06-30	1	B4	468.55	0.695
2017-06-30	1	B5	0.0	0.0525
2017-06-30	1	B5	73.7667	0.0745
2017-06-30	1	B5	111.8	0.1426
2017-06-30	1	B5	150.3833	0.192
2017-06-30	1	B5	190.0333	0.2299
2017-06-30	1	B5	222.5333	0.2401
2017-06-30	1	B5	290.0	0.3035
2017-06-30	1	B5	342.5667	0.3506
2017-06-30	1	B5	396.0833	0.3646
2017-06-30	1	B5	468.55	0.3726
2017-06-30	1	B6	0.0	0.0729
2017-06-30	1	B6	73.7667	0.0757
2017-06-30	1	B6	111.8	0.1455
2017-06-30	1	B6	150.3833	0.3389
2017-06-30	1	B6	190.0333	0.4562
2017-06-30	1	B6	222.5333	0.4915
2017-06-30	1	B6	290.0	0.5279
2017-06-30	1	B6	342.5667	0.5819
2017-06-30	1	B6	396.0833	0.6309
2017-06-30	1	B6	468.55	0.6128
2017-06-30	1	B7	0.0	0.0449
2017-06-30	1	B7	73.7667	0.0745
2017-06-30	1	B7	111.8	0.1475
2017-06-30	1	B7	150.3833	0.3377
2017-06-30	1	B7	190.0333	0.5298
2017-06-30	1	B7	222.5333	0.6627
2017-06-30	1	B7	290.0	0.7548
2017-06-30	1	B7	342.5667	0.7637
2017-06-30	1	B7	396.0833	0.7642
2017-06-30	1	B7	468.55	0.7854
2017-06-30	1	B8	0.0	0.0549
2017-06-30	1	B8	73.7667	0.074
2017-06-30	1	B8	111.8	0.1486
2017-06-30	1	B8	150.3833	0.2761
2017-06-30	1	B8	190.0333	0.3805
2017-06-30	1	B8	222.5333	0.4555
2017-06-30	1	B8	290.0	0.5458
2017-06-30	1	B8	342.5667	0.5309
2017-06-30	1	B8	396.0833	0.5237
2017-06-30	1	B8	468.55	0.5145
2017-06-30	1	B9	0.0	0.0465
2017-06-30	1	B9	73.7667	0.077
2017-06-30	1	B9	111.8	0.1581
2017-06-30	1	B9	150.3833	0.3674
