well	Label1	time	plate
A1	0.1403	2018-08-13 13:25:23	1
A10	0.1356	2018-08-13 13:25:23	1
A11	0.1342	2018-08-13 13:25:23	1
A12	0.135	2018-08-13 13:25:23	1
A2	0.1426	2018-08-13 13:25:23	1
A3	0.1376	2018-08-13 13:25:23	1
A4	0.1406	2018-08-13 13:25:23	1
A5	0.1436	2018-08-13 13:25:23	1
A6	0.1437	2018-08-13 13:25:23	1
A7	0.1429	2018-08-13 13:25:23	1
A8	0.139	2018-08-13 13:25:23	1
A9	0.1374	2018-08-13 13:25:23	1
B1	0.1364	2018-08-13 13:25:23	1
B10	1.8158	2018-08-13 13:25:23	1
B11	1.9025	2018-08-13 13:25:23	1
B12	0.1344	2018-08-13 13:25:23	1
B2	0.1396	2018-08-13 13:25:23	1
B3	0.1914	2018-08-13 13:25:23	1
B4	1.7269	2018-08-13 13:25:23	1
B5	1.0163	2018-08-13 13:25:23	1
B6	0.3841	2018-08-13 13:25:23	1
B7	0.2337	2018-08-13 13:25:23	1
B8	0.2044	2018-08-13 13:25:23	1
B9	0.199	2018-08-13 13:25:23	1
C1	0.1335	2018-08-13 13:25:23	1
C10	0.1345	2018-08-13 13:25:23	1
C11	0.1344	2018-08-13 13:25:23	1
C12	0.1346	2018-08-13 13:25:23	1
C2	0.1357	2018-08-13 13:25:23	1
C3	0.1406	2018-08-13 13:25:23	1
C4	0.1437	2018-08-13 13:25:23	1
C5	0.142	2018-08-13 13:25:23	1
C6	0.1366	2018-08-13 13:25:23	1
C7	0.1352	2018-08-13 13:25:23	1
C8	0.1357	2018-08-13 13:25:23	1
C9	0.1351	2018-08-13 13:25:23	1
D1	0.1317	2018-08-13 13:25:23	1
D10	0.73	2018-08-13 13:25:23	1
D11	0.7427	2018-08-13 13:25:23	1
D12	0.1343	2018-08-13 13:25:23	1
D2	1.8294	2018-08-13 13:25:23	1
D3	1.7576	2018-08-13 13:25:23	1
D4	1.8076	2018-08-13 13:25:23	1
D5	1.7877	2018-08-13 13:25:23	1
D6	1.5902	2018-08-13 13:25:23	1
D7	1.6462	2018-08-13 13:25:23	1
D8	1.6169	2018-08-13 13:25:23	1
D9	1.502	2018-08-13 13:25:23	1
E1	0.1306	2018-08-13 13:25:23	1
E10	0.1359	2018-08-13 13:25:23	1
E11	0.135	2018-08-13 13:25:23	1
E12	0.1345	2018-08-13 13:25:23	1
E2	0.1309	2018-08-13 13:25:23	1
E3	0.1335	2018-08-13 13:25:23	1
E4	0.133	2018-08-13 13:25:23	1
E5	0.131	2018-08-13 13:25:23	1
E6	0.136	2018-08-13 13:25:23	1
E7	0.1309	2018-08-13 13:25:23	1
E8	0.1314	2018-08-13 13:25:23	1
E9	0.1332	2018-08-13 13:25:23	1
F1	0.1292	2018-08-13 13:25:23	1
F10	0.1931	2018-08-13 13:25:23	1
F11	0.1931	2018-08-13 13:25:23	1
F12	0.1345	2018-08-13 13:25:23	1
F2	0.3259	2018-08-13 13:25:23	1
F3	0.3258	2018-08-13 13:25:23	1
F4	0.1882	2018-08-13 13:25:23	1
F5	0.1887	2018-08-13 13:25:23	1
F6	0.1873	2018-08-13 13:25:23	1
F7	0.192	2018-08-13 13:25:23	1
F8	0.192	2018-08-13 13:25:23	1
F9	0.1911	2018-08-13 13:25:23	1
G1	0.1275	2018-08-13 13:25:23	1
G10	0.132	2018-08-13 13:25:23	1
G11	0.133	2018-08-13 13:25:23	1
G12	0.1318	2018-08-13 13:25:23	1
G2	0.1301	2018-08-13 13:25:23	1
G3	0.1323	2018-08-13 13:25:23	1
G4	0.1352	2018-08-13 13:25:23	1
G5	0.1346	2018-08-13 13:25:23	1
G6	0.1338	2018-08-13 13:25:23	1
G7	0.1346	2018-08-13 13:25:23	1
G8	0.135	2018-08-13 13:25:23	1
G9	0.1348	2018-08-13 13:25:23	1
H1	0.1318	2018-08-13 13:25:23	1
H10	0.1322	2018-08-13 13:25:23	1
H11	0.1321	2018-08-13 13:25:23	1
H12	0.1324	2018-08-13 13:25:23	1
H2	0.1305	2018-08-13 13:25:23	1
H3	0.133	2018-08-13 13:25:23	1
H4	0.1331	2018-08-13 13:25:23	1
H5	0.1353	2018-08-13 13:25:23	1
H6	0.1364	2018-08-13 13:25:23	1
H7	0.1349	2018-08-13 13:25:23	1
H8	0.133	2018-08-13 13:25:23	1
H9	0.1312	2018-08-13 13:25:23	1
