date	plate	well	time	od
2017-11-29	1	B2	0.0	0.1415
2017-11-29	1	B2	50.7833	0.1641
2017-11-29	1	B2	91.9167	0.2061
2017-11-29	1	B2	135.15	0.211
2017-11-29	1	B2	200.8	0.2593
2017-11-29	1	B2	261.9833	0.2851
2017-11-29	1	B2	321.15	0.3003
2017-11-29	1	B4	0.0	0.134
2017-11-29	1	B4	50.7833	0.1432
2017-11-29	1	B4	91.9167	0.1774
2017-11-29	1	B4	135.15	0.1477
2017-11-29	1	B4	200.8	0.1604
2017-11-29	1	B4	261.9833	0.1987
2017-11-29	1	B4	321.15	0.2243
2017-11-29	1	B6	0.0	0.1251
2017-11-29	1	B6	50.7833	0.1462
2017-11-29	1	B6	91.9167	0.1813
2017-11-29	1	B6	135.15	0.1397
2017-11-29	1	B6	200.8	0.152
2017-11-29	1	B6	261.9833	0.1923
2017-11-29	1	B6	321.15	0.2259
2017-11-29	1	C2	0.0	0.1428
2017-11-29	1	C2	50.7833	0.1676
2017-11-29	1	C2	91.9167	0.2104
2017-11-29	1	C2	135.15	0.2182
2017-11-29	1	C2	200.8	0.2662
2017-11-29	1	C2	261.9833	0.2933
2017-11-29	1	C2	321.15	0.3068
2017-11-29	1	C4	0.0	0.1338
2017-11-29	1	C4	50.7833	0.1473
2017-11-29	1	C4	91.9167	0.1827
2017-11-29	1	C4	135.15	0.1545
2017-11-29	1	C4	200.8	0.1702
2017-11-29	1	C4	261.9833	0.2092
2017-11-29	1	C4	321.15	0.233
2017-11-29	1	C6	0.0	0.1239
2017-11-29	1	C6	50.7833	0.1504
2017-11-29	1	C6	91.9167	0.1864
2017-11-29	1	C6	135.15	0.1468
2017-11-29	1	C6	200.8	0.1691
2017-11-29	1	C6	261.9833	0.2073
2017-11-29	1	C6	321.15	0.235
2017-11-29	1	D2	0.0	0.1394
2017-11-29	1	D2	50.7833	0.1653
2017-11-29	1	D2	91.9167	0.2075
2017-11-29	1	D2	135.15	0.2166
2017-11-29	1	D2	200.8	0.2655
2017-11-29	1	D2	261.9833	0.2893
2017-11-29	1	D2	321.15	0.3047
2017-11-29	1	D4	0.0	0.1326
2017-11-29	1	D4	50.7833	0.1488
2017-11-29	1	D4	91.9167	0.1843
2017-11-29	1	D4	135.15	0.1596
2017-11-29	1	D4	200.8	0.1961
2017-11-29	1	D4	261.9833	0.2308
2017-11-29	1	D4	321.15	0.2518
2017-11-29	1	D6	0.0	0.1204
2017-11-29	1	D6	50.7833	0.1463
2017-11-29	1	D6	91.9167	0.1819
2017-11-29	1	D6	135.15	0.1428
2017-11-29	1	D6	200.8	0.1634
2017-11-29	1	D6	261.9833	0.2027
2017-11-29	1	D6	321.15	0.23
2017-11-29	1	E2	0.0	0.1087
2017-11-29	1	E2	50.7833	0.124
2017-11-29	1	E2	91.9167	0.0829
2017-11-29	1	E2	135.15	0.0552
2017-11-29	1	E2	200.8	0.055
2017-11-29	1	E2	261.9833	0.0585
2017-11-29	1	E2	321.15	0.0624
2017-11-29	1	E4	0.0	0.1329
2017-11-29	1	E4	50.7833	0.1555
2017-11-29	1	E4	91.9167	0.1238
2017-11-29	1	E4	135.15	0.0713
2017-11-29	1	E4	200.8	0.0618
2017-11-29	1	E4	261.9833	0.0624
2017-11-29	1	E4	321.15	0.0646
2017-11-29	1	E6	0.0	0.0954
2017-11-29	1	E6	50.7833	0.1084
2017-11-29	1	E6	91.9167	0.0794
2017-11-29	1	E6	135.15	0.0542
2017-11-29	1	E6	200.8	0.0536
2017-11-29	1	E6	261.9833	0.0585
2017-11-29	1	E6	321.15	0.0654
2017-11-29	1	F2	0.0	0.1117
2017-11-29	1	F2	50.7833	0.1267
2017-11-29	1	F2	91.9167	0.0834
2017-11-29	1	F2	135.15	0.0551
2017-11-29	1	F2	200.8	0.0558
2017-11-29	1	F2	261.9833	0.0583
2017-11-29	1	F2	321.15	0.0625
2017-11-29	1	F4	0.0	0.141
2017-11-29	1	F4	50.7833	0.1605
2017-11-29	1	F4	91.9167	0.1267
2017-11-29	1	F4	135.15	0.0717
2017-11-29	1	F4	200.8	0.0623
2017-11-29	1	F4	261.9833	0.0651
2017-11-29	1	F4	321.15	0.0689
2017-11-29	1	F6	0.0	0.0996
2017-11-29	1	F6	50.7833	0.1113
2017-11-29	1	F6	91.9167	0.0813
2017-11-29	1	F6	135.15	0.0549
2017-11-29	1	F6	200.8	0.0544
2017-11-29	1	F6	261.9833	0.0594
2017-11-29	1	F6	321.15	0.0666
2017-11-29	1	G2	0.0	0.1191
2017-11-29	1	G2	50.7833	0.1307
2017-11-29	1	G2	91.9167	0.085
2017-11-29	1	G2	135.15	0.0566
2017-11-29	1	G2	200.8	0.056
2017-11-29	1	G2	261.9833	0.0608
2017-11-29	1	G2	321.15	0.0654
2017-11-29	1	G4	0.0	0.1505
2017-11-29	1	G4	50.7833	0.1632
2017-11-29	1	G4	91.9167	0.1279
2017-11-29	1	G4	135.15	0.0726
2017-11-29	1	G4	200.8	0.0637
2017-11-29	1	G4	261.9833	0.064
2017-11-29	1	G4	321.15	0.068
2017-11-29	1	G6	0.0	0.1034
2017-11-29	1	G6	50.7833	0.1132
2017-11-29	1	G6	91.9167	0.0824
2017-11-29	1	G6	135.15	0.0553
2017-11-29	1	G6	200.8	0.0565
2017-11-29	1	G6	261.9833	0.0623
2017-11-29	1	G6	321.15	0.0707
