date	plate	well	time	od
2017-11-29	1	B2	0.0	0.0463
2017-11-29	1	B2	77.0	0.0877
2017-11-29	1	B2	120.9333	0.1511
2017-11-29	1	B2	160.9833	0.2051
2017-11-29	1	B2	202.2167	0.2469
2017-11-29	1	B2	245.5333	0.3041
2017-11-29	1	B2	310.8333	0.3515
2017-11-29	1	B2	370.8667	0.3652
2017-11-29	1	B2	431.7667	0.3754
2017-11-29	1	B3	0.0	0.0531
2017-11-29	1	B3	77.0	0.0794
2017-11-29	1	B3	120.9333	0.1427
2017-11-29	1	B3	160.9833	0.1838
2017-11-29	1	B3	202.2167	0.2239
2017-11-29	1	B3	245.5333	0.2754
2017-11-29	1	B3	310.8333	0.3399
2017-11-29	1	B3	370.8667	0.3502
2017-11-29	1	B3	431.7667	0.3605
2017-11-29	1	B4	0.0	0.0578
2017-11-29	1	B4	77.0	0.0896
2017-11-29	1	B4	120.9333	0.1512
2017-11-29	1	B4	160.9833	0.204
2017-11-29	1	B4	202.2167	0.2381
2017-11-29	1	B4	245.5333	0.2934
2017-11-29	1	B4	310.8333	0.3409
2017-11-29	1	B4	370.8667	0.3546
2017-11-29	1	B4	431.7667	0.3631
2017-11-29	1	B5	0.0	0.0556
2017-11-29	1	B5	77.0	0.0667
2017-11-29	1	B5	120.9333	0.1317
2017-11-29	1	B5	160.9833	0.1522
2017-11-29	1	B5	202.2167	0.1846
2017-11-29	1	B5	245.5333	0.2118
2017-11-29	1	B5	310.8333	0.2786
2017-11-29	1	B5	370.8667	0.2899
2017-11-29	1	B5	431.7667	0.2948
2017-11-29	1	B6	0.0	0.0555
2017-11-29	1	B6	77.0	0.0674
2017-11-29	1	B6	120.9333	0.1311
2017-11-29	1	B6	160.9833	0.1513
2017-11-29	1	B6	202.2167	0.1761
2017-11-29	1	B6	245.5333	0.1794
2017-11-29	1	B6	310.8333	0.2173
2017-11-29	1	B6	370.8667	0.2489
2017-11-29	1	B6	431.7667	0.2557
2017-11-29	1	B7	0.0	0.0539
2017-11-29	1	B7	77.0	0.0643
2017-11-29	1	B7	120.9333	0.1208
2017-11-29	1	B7	160.9833	0.1501
2017-11-29	1	B7	202.2167	0.1741
2017-11-29	1	B7	245.5333	0.1728
2017-11-29	1	B7	310.8333	0.189
2017-11-29	1	B7	370.8667	0.2337
2017-11-29	1	B7	431.7667	0.237
2017-11-29	1	B8	0.0	0.0581
2017-11-29	1	B8	77.0	0.0905
2017-11-29	1	B8	120.9333	0.1567
2017-11-29	1	B8	160.9833	0.159
2017-11-29	1	B8	202.2167	0.1242
2017-11-29	1	B8	245.5333	0.1219
2017-11-29	1	B8	310.8333	0.132
2017-11-29	1	B8	370.8667	0.1381
2017-11-29	1	B8	431.7667	0.1737
2017-11-29	1	C2	0.0	0.0499
2017-11-29	1	C2	77.0	0.0902
2017-11-29	1	C2	120.9333	0.1544
2017-11-29	1	C2	160.9833	0.2068
2017-11-29	1	C2	202.2167	0.2487
2017-11-29	1	C2	245.5333	0.302
