well,strain,genotype,plasmid,medium,replicate,plate
B2,ecMK140,serA,vector,rich_5mMser,1,1
B3,ecMK203,serA_sdaB,vector,rich_5mMser,1,1
B4,ecMK197,serA,sdaC,rich_5mMser,1,1
B5,ecMK199,serA_sdaB,sdaC,rich_5mMser,1,1
B6,ecMK200,serA,sdaB-native,rich_5mMser,1,1
B7,ecMK202,serA_sdaB,sdaB-native,rich_5mMser,1,1
B8,ecMK85,WT,none,rich_5mMser,1,1
B9,ecMK180,sdaC,none,rich_5mMser,1,1
B10,ecMK94,serA,none,rich_5mMser,1,1
B11,ecMK164,serA_sdaB,none,rich_5mMser,1,1
C2,ecMK140,serA,vector,rich_5mMser,2,1
C3,ecMK203,serA_sdaB,vector,rich_5mMser,2,1
C4,ecMK197,serA,sdaC,rich_5mMser,2,1
C5,ecMK199,serA_sdaB,sdaC,rich_5mMser,2,1
C6,ecMK200,serA,sdaB-native,rich_5mMser,2,1
C7,ecMK202,serA_sdaB,sdaB-native,rich_5mMser,2,1
C8,ecMK85,WT,none,rich_5mMser,2,1
C9,ecMK180,sdaC,none,rich_5mMser,2,1
C10,ecMK94,serA,none,rich_5mMser,2,1
C11,ecMK164,serA_sdaB,none,rich_5mMser,2,1
D2,ecMK140,serA,vector,rich_5mMser,3,1
D3,ecMK203,serA_sdaB,vector,rich_5mMser,3,1
D4,ecMK197,serA,sdaC,rich_5mMser,3,1
D5,ecMK199,serA_sdaB,sdaC,rich_5mMser,3,1
D6,ecMK200,serA,sdaB-native,rich_5mMser,3,1
D7,ecMK202,serA_sdaB,sdaB-native,rich_5mMser,3,1
D8,ecMK85,WT,none,rich_5mMser,3,1
D9,ecMK180,sdaC,none,rich_5mMser,3,1
D10,ecMK94,serA,none,rich_5mMser,3,1
D11,ecMK164,serA_sdaB,none,rich_5mMser,3,1
E2,ecMK142,serA_sdaCB,vector,rich_5mMser,1,1
E4,ecMK198,serA_sdaCB,sdaC,rich_5mMser,1,1
E6,ecMK201,serA_sdaCB,sdaB-native,rich_5mMser,1,1
E8,ecMK102,sdaCB,none,rich_5mMser,1,1
E10,ecMK106,serA_sdaCB,none,rich_5mMser,1,1
E11,ecMK181,serA_sdaC,none,rich_5mMser,1,1
F2,ecMK142,serA_sdaCB,vector,rich_5mMser,2,1
F4,ecMK198,serA_sdaCB,sdaC,rich_5mMser,2,1
F6,ecMK201,serA_sdaCB,sdaB-native,rich_5mMser,2,1
F8,ecMK102,sdaCB,none,rich_5mMser,2,1
F10,ecMK106,serA_sdaCB,none,rich_5mMser,2,1
F11,ecMK181,serA_sdaC,none,rich_5mMser,2,1
G2,ecMK142,serA_sdaCB,vector,rich_5mMser,3,1
G4,ecMK198,serA_sdaCB,sdaC,rich_5mMser,3,1
G6,ecMK201,serA_sdaCB,sdaB-native,rich_5mMser,3,1
G8,ecMK102,sdaCB,none,rich_5mMser,3,1
G10,ecMK106,serA_sdaCB,none,rich_5mMser,3,1
G11,ecMK181,serA_sdaC,none,rich_5mMser,3,1
