date	plate	well	time	od
2017-12-21	1	B10	0.0	0.0404
2017-12-21	1	B10	82.3833	0.0431
2017-12-21	1	B10	124.4167	0.0509
2017-12-21	1	B10	165.5	0.0807
2017-12-21	1	B10	210.55	0.1928
2017-12-21	1	B10	256.0333	0.2012
2017-12-21	1	B10	300.2833	0.2042
2017-12-21	1	B10	360.8167	0.2122
2017-12-21	1	B10	424.3	0.2131
2017-12-21	1	B11	0.0	0.041
2017-12-21	1	B11	82.3833	0.0606
2017-12-21	1	B11	124.4167	0.0963
2017-12-21	1	B11	165.5	0.2004
2017-12-21	1	B11	210.55	0.3024
2017-12-21	1	B11	256.0333	0.3073
2017-12-21	1	B11	300.2833	0.3111
2017-12-21	1	B11	360.8167	0.3143
2017-12-21	1	B11	424.3	0.3168
2017-12-21	1	B2	0.0	0.041
2017-12-21	1	B2	82.3833	0.043
2017-12-21	1	B2	124.4167	0.0512
2017-12-21	1	B2	165.5	0.079
2017-12-21	1	B2	210.55	0.1742
2017-12-21	1	B2	256.0333	0.1816
2017-12-21	1	B2	300.2833	0.1843
2017-12-21	1	B2	360.8167	0.1911
2017-12-21	1	B2	424.3	0.1921
2017-12-21	1	B3	0.0	0.0551
2017-12-21	1	B3	82.3833	0.0577
2017-12-21	1	B3	124.4167	0.0934
2017-12-21	1	B3	165.5	0.2098
2017-12-21	1	B3	210.55	0.2722
2017-12-21	1	B3	256.0333	0.2773
2017-12-21	1	B3	300.2833	0.2789
2017-12-21	1	B3	360.8167	0.2801
2017-12-21	1	B3	424.3	0.2746
2017-12-21	1	B4	0.0	0.0413
2017-12-21	1	B4	82.3833	0.0463
2017-12-21	1	B4	124.4167	0.0639
2017-12-21	1	B4	165.5	0.1206
2017-12-21	1	B4	210.55	0.1613
2017-12-21	1	B4	256.0333	0.1661
2017-12-21	1	B4	300.2833	0.1676
2017-12-21	1	B4	360.8167	0.1719
2017-12-21	1	B4	424.3	0.1731
2017-12-21	1	B5	0.0	0.0537
2017-12-21	1	B5	82.3833	0.0531
2017-12-21	1	B5	124.4167	0.0737
2017-12-21	1	B5	165.5	0.1324
2017-12-21	1	B5	210.55	0.2471
2017-12-21	1	B5	256.0333	0.2517
2017-12-21	1	B5	300.2833	0.256
2017-12-21	1	B5	360.8167	0.2587
2017-12-21	1	B5	424.3	0.2575
2017-12-21	1	B6	0.0	0.0417
2017-12-21	1	B6	82.3833	0.044
2017-12-21	1	B6	124.4167	0.0538
2017-12-21	1	B6	165.5	0.0868
2017-12-21	1	B6	210.55	0.1899
2017-12-21	1	B6	256.0333	0.1978
2017-12-21	1	B6	300.2833	0.2005
2017-12-21	1	B6	360.8167	0.2098
2017-12-21	1	B6	424.3	0.2133
2017-12-21	1	B7	0.0	0.04
2017-12-21	1	B7	82.3833	0.0577
2017-12-21	1	B7	124.4167	0.0911
2017-12-21	1	B7	165.5	0.1969
2017-12-21	1	B7	210.55	0.2833
2017-12-21	1	B7	256.0333	0.2891
2017-12-21	1	B7	300.2833	0.2899
2017-12-21	1	B7	360.8167	0.2913
2017-12-21	1	B7	424.3	0.2868
2017-12-21	1	B8	0.0	0.0501
2017-12-21	1	B8	82.3833	0.0649
2017-12-21	1	B8	124.4167	0.1327
2017-12-21	1	B8	165.5	0.304
2017-12-21	1	B8	210.55	0.5622
2017-12-21	1	B8	256.0333	0.6506
2017-12-21	1	B8	300.2833	0.6737
2017-12-21	1	B8	360.8167	0.6782
2017-12-21	1	B8	424.3	0.6713
2017-12-21	1	B9	0.0	0.0493
2017-12-21	1	B9	82.3833	0.0596
2017-12-21	1	B9	124.4167	0.1111
2017-12-21	1	B9	165.5	0.2869
2017-12-21	1	B9	210.55	0.5514
2017-12-21	1	B9	256.0333	0.6273
2017-12-21	1	B9	300.2833	0.6486
2017-12-21	1	B9	360.8167	0.6533
2017-12-21	1	B9	424.3	0.6463
2017-12-21	1	C10	0.0	0.0403
2017-12-21	1	C10	82.3833	0.0431
2017-12-21	1	C10	124.4167	0.0493
2017-12-21	1	C10	165.5	0.0716
2017-12-21	1	C10	210.55	0.1636
2017-12-21	1	C10	256.0333	0.1996
2017-12-21	1	C10	300.2833	0.2041
2017-12-21	1	C10	360.8167	0.2128
2017-12-21	1	C10	424.3	0.2144
2017-12-21	1	C11	0.0	0.0435
2017-12-21	1	C11	82.3833	0.0553
2017-12-21	1	C11	124.4167	0.077
2017-12-21	1	C11	165.5	0.1364
2017-12-21	1	C11	210.55	0.3089
2017-12-21	1	C11	256.0333	0.3125
2017-12-21	1	C11	300.2833	0.3166
2017-12-21	1	C11	360.8167	0.3261
2017-12-21	1	C11	424.3	0.3385
2017-12-21	1	C2	0.0	0.0398
2017-12-21	1	C2	82.3833	0.047
2017-12-21	1	C2	124.4167	0.0665
2017-12-21	1	C2	165.5	0.1319
2017-12-21	1	C2	210.55	0.1791
2017-12-21	1	C2	256.0333	0.1864
2017-12-21	1	C2	300.2833	0.1874
2017-12-21	1	C2	360.8167	0.1923
2017-12-21	1	C2	424.3	0.1929
2017-12-21	1	C3	0.0	0.0396
2017-12-21	1	C3	82.3833	0.0466
2017-12-21	1	C3	124.4167	0.0419
2017-12-21	1	C3	165.5	0.0443
2017-12-21	1	C3	210.55	0.0473
2017-12-21	1	C3	256.0333	0.0511
2017-12-21	1	C3	300.2833	0.0556
2017-12-21	1	C3	360.8167	0.0622
2017-12-21	1	C3	424.3	0.069
2017-12-21	1	C4	0.0	0.0396
2017-12-21	1	C4	82.3833	0.0466
2017-12-21	1	C4	124.4167	0.064
2017-12-21	1	C4	165.5	0.1215
2017-12-21	1	C4	210.55	0.1599
2017-12-21	1	C4	256.0333	0.1659
2017-12-21	1	C4	300.2833	0.1677
2017-12-21	1	C4	360.8167	0.1723
2017-12-21	1	C4	424.3	0.1732
2017-12-21	1	C5	0.0	0.0436
2017-12-21	1	C5	82.3833	0.0567
2017-12-21	1	C5	124.4167	0.0814
2017-12-21	1	C5	165.5	0.1513
2017-12-21	1	C5	210.55	0.2686
2017-12-21	1	C5	256.0333	0.2753
2017-12-21	1	C5	300.2833	0.2809
2017-12-21	1	C5	360.8167	0.2814
2017-12-21	1	C5	424.3	0.2803
2017-12-21	1	C6	0.0	0.0401
