date	plate	well	time	od	yfp
2017-10-30	1	B10	0.0	0.0486	147
2017-10-30	1	B10	82.85	0.1071	184
2017-10-30	1	B10	125.9833	0.2031	230
2017-10-30	1	B10	168.9333	0.2598	811
2017-10-30	1	B10	207.0333	0.2782	1139
2017-10-30	1	B10	249.5333	0.3286	1377
2017-10-30	1	B10	297.4833	0.3846	1906
2017-10-30	1	B10	368.7667	0.3962	2185
2017-10-30	1	B10	428.2667	0.4039	2259
2017-10-30	1	B10	494.2667	0.4127	2219
2017-10-30	1	B2	0.0	0.0508	4030
2017-10-30	1	B2	82.85	0.1004	8342
2017-10-30	1	B2	125.9833	0.1571	13069
2017-10-30	1	B2	168.9333	0.2123	19180
2017-10-30	1	B2	207.0333	0.233	24507
2017-10-30	1	B2	249.5333	0.2631	29602
2017-10-30	1	B2	297.4833	0.3034	38319
2017-10-30	1	B2	368.7667	0.3241	40773
2017-10-30	1	B2	428.2667	0.337	40879
2017-10-30	1	B2	494.2667	0.3459	42523
2017-10-30	1	B3	0.0	0.0592	212
2017-10-30	1	B3	82.85	0.0982	200
2017-10-30	1	B3	125.9833	0.1566	418
2017-10-30	1	B3	168.9333	0.2109	1165
2017-10-30	1	B3	207.0333	0.2293	1705
2017-10-30	1	B3	249.5333	0.2578	1968
2017-10-30	1	B3	297.4833	0.2971	2632
2017-10-30	1	B3	368.7667	0.3149	2902
2017-10-30	1	B3	428.2667	0.3256	2851
2017-10-30	1	B3	494.2667	0.3336	2889
2017-10-30	1	B4	0.0	0.0622	192
2017-10-30	1	B4	82.85	0.1004	204
2017-10-30	1	B4	125.9833	0.1618	267
2017-10-30	1	B4	168.9333	0.2163	701
2017-10-30	1	B4	207.0333	0.2347	1004
2017-10-30	1	B4	249.5333	0.2634	1204
2017-10-30	1	B4	297.4833	0.3042	1755
2017-10-30	1	B4	368.7667	0.3202	1802
2017-10-30	1	B4	428.2667	0.3319	1892
2017-10-30	1	B4	494.2667	0.3416	1938
2017-10-30	1	B5	0.0	0.0495	4028
2017-10-30	1	B5	82.85	0.1079	8344
2017-10-30	1	B5	125.9833	0.2641	14796
2017-10-30	1	B5	168.9333	0.4517	40585
2017-10-30	1	B5	207.0333	0.5056	55263
2017-10-30	1	B5	249.5333	0.5526	61213
