date	plate	well	time	od
2017-11-10	1	B10	0.0	0.044
2017-11-10	1	B10	68.65	0.0915
2017-11-10	1	B10	116.0	0.1995
2017-11-10	1	B10	159.6333	0.2498
2017-11-10	1	B10	201.8167	0.2885
2017-11-10	1	B10	247.7167	0.3523
2017-11-10	1	B10	291.25	0.3797
2017-11-10	1	B10	339.1667	0.3907
2017-11-10	1	B10	385.5333	0.3982
2017-11-10	1	B10	430.5667	0.4009
2017-11-10	1	B10	486.1167	0.3959
2017-11-10	1	B2	0.0	0.0446
2017-11-10	1	B2	68.65	0.0821
2017-11-10	1	B2	116.0	0.1497
2017-11-10	1	B2	159.6333	0.1917
2017-11-10	1	B2	201.8167	0.2271
2017-11-10	1	B2	247.7167	0.2713
2017-11-10	1	B2	291.25	0.3143
2017-11-10	1	B2	339.1667	0.329
2017-11-10	1	B2	385.5333	0.3409
2017-11-10	1	B2	430.5667	0.35
2017-11-10	1	B2	486.1167	0.3574
2017-11-10	1	B3	0.0	0.0589
2017-11-10	1	B3	68.65	0.0615
2017-11-10	1	B3	116.0	0.1317
2017-11-10	1	B3	159.6333	0.158
2017-11-10	1	B3	201.8167	0.1272
2017-11-10	1	B3	247.7167	0.0863
2017-11-10	1	B3	291.25	0.0709
2017-11-10	1	B3	339.1667	0.0654
2017-11-10	1	B3	385.5333	0.066
2017-11-10	1	B3	430.5667	0.0682
2017-11-10	1	B3	486.1167	0.0693
2017-11-10	1	B4	0.0	0.0446
2017-11-10	1	B4	68.65	0.0744
2017-11-10	1	B4	116.0	0.1487
2017-11-10	1	B4	159.6333	0.1731
2017-11-10	1	B4	201.8167	0.2167
2017-11-10	1	B4	247.7167	0.2512
2017-11-10	1	B4	291.25	0.3063
2017-11-10	1	B4	339.1667	0.3329
2017-11-10	1	B4	385.5333	0.3451
2017-11-10	1	B4	430.5667	0.3537
2017-11-10	1	B4	486.1167	0.3568
2017-11-10	1	B5	0.0	0.0526
2017-11-10	1	B5	68.65	0.065
2017-11-10	1	B5	116.0	0.1423
2017-11-10	1	B5	159.6333	0.1629
2017-11-10	1	B5	201.8167	0.1993
2017-11-10	1	B5	247.7167	0.2289
2017-11-10	1	B5	291.25	0.2758
2017-11-10	1	B5	339.1667	0.3175
2017-11-10	1	B5	385.5333	0.3299
2017-11-10	1	B5	430.5667	0.3412
2017-11-10	1	B5	486.1167	0.3499
2017-11-10	1	B6	0.0	0.0512
2017-11-10	1	B6	68.65	0.0808
2017-11-10	1	B6	116.0	0.1561
2017-11-10	1	B6	159.6333	0.1799
2017-11-10	1	B6	201.8167	0.2227
2017-11-10	1	B6	247.7167	0.2555
2017-11-10	1	B6	291.25	0.3103
2017-11-10	1	B6	339.1667	0.3336
2017-11-10	1	B6	385.5333	0.3444
2017-11-10	1	B6	430.5667	0.3531
2017-11-10	1	B6	486.1167	0.3591
2017-11-10	1	B7	0.0	0.0458
2017-11-10	1	B7	68.65	0.0866
2017-11-10	1	B7	116.0	0.1635
2017-11-10	1	B7	159.6333	0.2072
2017-11-10	1	B7	201.8167	0.2439
2017-11-10	1	B7	247.7167	0.2983
2017-11-10	1	B7	291.25	0.33
2017-11-10	1	B7	339.1667	0.3447
2017-11-10	1	B7	385.5333	0.3518
2017-11-10	1	B7	430.5667	0.3483
2017-11-10	1	B7	486.1167	0.3433
2017-11-10	1	B8	0.0	0.0499
2017-11-10	1	B8	68.65	0.0906
2017-11-10	1	B8	116.0	0.1638
2017-11-10	1	B8	159.6333	0.1145
2017-11-10	1	B8	201.8167	0.0676
2017-11-10	1	B8	247.7167	0.0626
2017-11-10	1	B8	291.25	0.0627
2017-11-10	1	B8	339.1667	0.0652
2017-11-10	1	B8	385.5333	0.0699
2017-11-10	1	B8	430.5667	0.0737
2017-11-10	1	B8	486.1167	0.0735
2017-11-10	1	B9	0.0	0.0508
2017-11-10	1	B9	68.65	0.0915
2017-11-10	1	B9	116.0	0.1639
2017-11-10	1	B9	159.6333	0.1913
2017-11-10	1	B9	201.8167	0.2354
2017-11-10	1	B9	247.7167	0.2723
2017-11-10	1	B9	291.25	0.325
2017-11-10	1	B9	339.1667	0.3404
2017-11-10	1	B9	385.5333	0.3554
2017-11-10	1	B9	430.5667	0.361
2017-11-10	1	B9	486.1167	0.369
2017-11-10	1	C10	0.0	0.0399
2017-11-10	1	C10	68.65	0.0886
2017-11-10	1	C10	116.0	0.1967
2017-11-10	1	C10	159.6333	0.2448
2017-11-10	1	C10	201.8167	0.283
2017-11-10	1	C10	247.7167	0.3445
2017-11-10	1	C10	291.25	0.3733
2017-11-10	1	C10	339.1667	0.3837
2017-11-10	1	C10	385.5333	0.3925
2017-11-10	1	C10	430.5667	0.3953
2017-11-10	1	C10	486.1167	0.3905
2017-11-10	1	C2	0.0	0.0474
2017-11-10	1	C2	68.65	0.0808
2017-11-10	1	C2	116.0	0.1493
2017-11-10	1	C2	159.6333	0.1902
2017-11-10	1	C2	201.8167	0.2269
2017-11-10	1	C2	247.7167	0.2702
2017-11-10	1	C2	291.25	0.3151
2017-11-10	1	C2	339.1667	0.3294
2017-11-10	1	C2	385.5333	0.341
2017-11-10	1	C2	430.5667	0.35
2017-11-10	1	C2	486.1167	0.3576
2017-11-10	1	C3	0.0	0.0487
2017-11-10	1	C3	68.65	0.0629
2017-11-10	1	C3	116.0	0.1374
2017-11-10	1	C3	159.6333	0.1507
2017-11-10	1	C3	201.8167	0.1268
2017-11-10	1	C3	247.7167	0.0833
2017-11-10	1	C3	291.25	0.0675
2017-11-10	1	C3	339.1667	0.0643
2017-11-10	1	C3	385.5333	0.0636
2017-11-10	1	C3	430.5667	0.0656
2017-11-10	1	C3	486.1167	0.0702
2017-11-10	1	C4	0.0	0.0478
2017-11-10	1	C4	68.65	0.0828
2017-11-10	1	C4	116.0	0.1526
2017-11-10	1	C4	159.6333	0.1839
2017-11-10	1	C4	201.8167	0.2285
2017-11-10	1	C4	247.7167	0.2684
2017-11-10	1	C4	291.25	0.3161
2017-11-10	1	C4	339.1667	0.3286
2017-11-10	1	C4	385.5333	0.3382
2017-11-10	1	C4	430.5667	0.3499
2017-11-10	1	C4	486.1167	0.355
2017-11-10	1	C5	0.0	0.0512
2017-11-10	1	C5	68.65	0.0733
2017-11-10	1	C5	116.0	0.15
2017-11-10	1	C5	159.6333	0.1718
2017-11-10	1	C5	201.8167	0.2118
2017-11-10	1	C5	247.7167	0.2413
2017-11-10	1	C5	291.25	0.2906
2017-11-10	1	C5	339.1667	0.3221
2017-11-10	1	C5	385.5333	0.3335
2017-11-10	1	C5	430.5667	0.3438
2017-11-10	1	C5	486.1167	0.352
2017-11-10	1	C6	0.0	0.0545
2017-11-10	1	C6	68.65	0.0679
2017-11-10	1	C6	116.0	0.1511
2017-11-10	1	C6	159.6333	0.1691
2017-11-10	1	C6	201.8167	0.2078
2017-11-10	1	C6	247.7167	0.2348
2017-11-10	1	C6	291.25	0.2808
2017-11-10	1	C6	339.1667	0.3176
2017-11-10	1	C6	385.5333	0.3283
2017-11-10	1	C6	430.5667	0.3381
2017-11-10	1	C6	486.1167	0.3518
2017-11-10	1	C7	0.0	0.0569
2017-11-10	1	C7	68.65	0.0856
2017-11-10	1	C7	116.0	0.1611
2017-11-10	1	C7	159.6333	0.2028
2017-11-10	1	C7	201.8167	0.2382
2017-11-10	1	C7	247.7167	0.2901
2017-11-10	1	C7	291.25	0.3219
2017-11-10	1	C7	339.1667	0.3357
2017-11-10	1	C7	385.5333	0.3439
2017-11-10	1	C7	430.5667	0.3413
2017-11-10	1	C7	486.1167	0.3358
2017-11-10	1	C8	0.0	0.0574
2017-11-10	1	C8	68.65	0.0893
2017-11-10	1	C8	116.0	0.1625
2017-11-10	1	C8	159.6333	0.119
2017-11-10	1	C8	201.8167	0.0695
2017-11-10	1	C8	247.7167	0.0624
2017-11-10	1	C8	291.25	0.0622
2017-11-10	1	C8	339.1667	0.0649
2017-11-10	1	C8	385.5333	0.07
2017-11-10	1	C8	430.5667	0.0732
2017-11-10	1	C8	486.1167	0.0729
2017-11-10	1	C9	0.0	0.043
2017-11-10	1	C9	68.65	0.089
2017-11-10	1	C9	116.0	0.1597
2017-11-10	1	C9	159.6333	0.1852
2017-11-10	1	C9	201.8167	0.2281
2017-11-10	1	C9	247.7167	0.2628
2017-11-10	1	C9	291.25	0.3159
2017-11-10	1	C9	339.1667	0.3304
2017-11-10	1	C9	385.5333	0.3427
2017-11-10	1	C9	430.5667	0.3514
2017-11-10	1	C9	486.1167	0.3596
2017-11-10	1	D10	0.0	0.0445
2017-11-10	1	D10	68.65	0.0829
2017-11-10	1	D10	116.0	0.1882
2017-11-10	1	D10	159.6333	0.2361
2017-11-10	1	D10	201.8167	0.2749
2017-11-10	1	D10	247.7167	0.3356
2017-11-10	1	D10	291.25	0.3651
2017-11-10	1	D10	339.1667	0.3753
2017-11-10	1	D10	385.5333	0.3844
2017-11-10	1	D10	430.5667	0.3882
2017-11-10	1	D10	486.1167	0.3835
2017-11-10	1	D2	0.0	0.0484
2017-11-10	1	D2	68.65	0.078
2017-11-10	1	D2	116.0	0.1443
2017-11-10	1	D2	159.6333	0.1777
2017-11-10	1	D2	201.8167	0.2218
2017-11-10	1	D2	247.7167	0.2593
2017-11-10	1	D2	291.25	0.3071
2017-11-10	1	D2	339.1667	0.3209
2017-11-10	1	D2	385.5333	0.3315
2017-11-10	1	D2	430.5667	0.3427
2017-11-10	1	D2	486.1167	0.3488
2017-11-10	1	D3	0.0	0.0502
2017-11-10	1	D3	68.65	0.0667
2017-11-10	1	D3	116.0	0.1373
2017-11-10	1	D3	159.6333	0.1516
2017-11-10	1	D3	201.8167	0.1234
2017-11-10	1	D3	247.7167	0.0782
2017-11-10	1	D3	291.25	0.0646
2017-11-10	1	D3	339.1667	0.0617
2017-11-10	1	D3	385.5333	0.0628
2017-11-10	1	D3	430.5667	0.0652
2017-11-10	1	D3	486.1167	0.0695
2017-11-10	1	D4	0.0	0.0493
2017-11-10	1	D4	68.65	0.0817
2017-11-10	1	D4	116.0	0.1507
2017-11-10	1	D4	159.6333	0.182
2017-11-10	1	D4	201.8167	0.2276
2017-11-10	1	D4	247.7167	0.2656
2017-11-10	1	D4	291.25	0.3156
2017-11-10	1	D4	339.1667	0.3276
2017-11-10	1	D4	385.5333	0.3368
2017-11-10	1	D4	430.5667	0.3482
2017-11-10	1	D4	486.1167	0.3545
2017-11-10	1	D5	0.0	0.0504
2017-11-10	1	D5	68.65	0.0647
2017-11-10	1	D5	116.0	0.1434
2017-11-10	1	D5	159.6333	0.1633
2017-11-10	1	D5	201.8167	0.2004
2017-11-10	1	D5	247.7167	0.2292
2017-11-10	1	D5	291.25	0.275
2017-11-10	1	D5	339.1667	0.3133
2017-11-10	1	D5	385.5333	0.3247
2017-11-10	1	D5	430.5667	0.3347
2017-11-10	1	D5	486.1167	0.346
2017-11-10	1	D6	0.0	0.0557
2017-11-10	1	D6	68.65	0.0664
2017-11-10	1	D6	116.0	0.1457
2017-11-10	1	D6	159.6333	0.1665
2017-11-10	1	D6	201.8167	0.2043
2017-11-10	1	D6	247.7167	0.2316
2017-11-10	1	D6	291.25	0.2753
2017-11-10	1	D6	339.1667	0.3148
2017-11-10	1	D6	385.5333	0.3243
2017-11-10	1	D6	430.5667	0.3341
2017-11-10	1	D6	486.1167	0.3464
2017-11-10	1	D7	0.0	0.0552
2017-11-10	1	D7	68.65	0.0819
2017-11-10	1	D7	116.0	0.154
2017-11-10	1	D7	159.6333	0.1937
2017-11-10	1	D7	201.8167	0.2293
2017-11-10	1	D7	247.7167	0.2788
2017-11-10	1	D7	291.25	0.3117
2017-11-10	1	D7	339.1667	0.325
2017-11-10	1	D7	385.5333	0.333
2017-11-10	1	D7	430.5667	0.3299
2017-11-10	1	D7	486.1167	0.3254
2017-11-10	1	D8	0.0	0.0465
2017-11-10	1	D8	68.65	0.0843
2017-11-10	1	D8	116.0	0.1558
2017-11-10	1	D8	159.6333	0.1252
2017-11-10	1	D8	201.8167	0.0718
2017-11-10	1	D8	247.7167	0.0597
2017-11-10	1	D8	291.25	0.061
2017-11-10	1	D8	339.1667	0.0642
2017-11-10	1	D8	385.5333	0.0683
2017-11-10	1	D8	430.5667	0.0716
2017-11-10	1	D8	486.1167	0.0723
2017-11-10	1	D9	0.0	0.0411
2017-11-10	1	D9	68.65	0.0818
2017-11-10	1	D9	116.0	0.153
2017-11-10	1	D9	159.6333	0.1787
2017-11-10	1	D9	201.8167	0.2226
2017-11-10	1	D9	247.7167	0.2578
2017-11-10	1	D9	291.25	0.3104
2017-11-10	1	D9	339.1667	0.3255
2017-11-10	1	D9	385.5333	0.3395
2017-11-10	1	D9	430.5667	0.3452
2017-11-10	1	D9	486.1167	0.3533
2017-11-10	1	E10	0.0	0.0501
2017-11-10	1	E10	68.65	0.0625
2017-11-10	1	E10	116.0	0.136
2017-11-10	1	E10	159.6333	0.179
2017-11-10	1	E10	201.8167	0.1548
2017-11-10	1	E10	247.7167	0.1142
