date	plate	well	time	od
2017-10-06	1	B2	0.0	0.054
2017-10-06	1	B2	80.8	0.0882
2017-10-06	1	B2	126.5667	0.1338
2017-10-06	1	B2	162.5333	0.1457
2017-10-06	1	B2	201.0	0.1792
2017-10-06	1	B2	244.0167	0.2015
2017-10-06	1	B2	281.4833	0.2319
2017-10-06	1	B2	363.4333	0.3188
2017-10-06	1	B2	434.5	0.342
2017-10-06	1	B2	507.7	0.3518
2017-10-06	1	B4	0.0	0.0537
2017-10-06	1	B4	80.8	0.0769
2017-10-06	1	B4	126.5667	0.1336
2017-10-06	1	B4	162.5333	0.1436
2017-10-06	1	B4	201.0	0.1658
2017-10-06	1	B4	244.0167	0.1845
2017-10-06	1	B4	281.4833	0.2132
2017-10-06	1	B4	363.4333	0.313
2017-10-06	1	B4	434.5	0.3392
2017-10-06	1	B4	507.7	0.3486
2017-10-06	1	B6	0.0	0.0414
2017-10-06	1	B6	80.8	0.1024
2017-10-06	1	B6	126.5667	0.1428
2017-10-06	1	B6	162.5333	0.1558
2017-10-06	1	B6	201.0	0.1905
2017-10-06	1	B6	244.0167	0.2138
2017-10-06	1	B6	281.4833	0.2473
2017-10-06	1	B6	363.4333	0.3159
2017-10-06	1	B6	434.5	0.3364
2017-10-06	1	B6	507.7	0.3444
2017-10-06	1	C2	0.0	0.0527
2017-10-06	1	C2	80.8	0.09
2017-10-06	1	C2	126.5667	0.1345
2017-10-06	1	C2	162.5333	0.146
2017-10-06	1	C2	201.0	0.1808
2017-10-06	1	C2	244.0167	0.2089
2017-10-06	1	C2	281.4833	0.2392
2017-10-06	1	C2	363.4333	0.3194
2017-10-06	1	C2	434.5	0.3453
2017-10-06	1	C2	507.7	0.3546
2017-10-06	1	C4	0.0	0.052
2017-10-06	1	C4	80.8	0.0752
2017-10-06	1	C4	126.5667	0.133
2017-10-06	1	C4	162.5333	0.1423
2017-10-06	1	C4	201.0	0.1633
2017-10-06	1	C4	244.0167	0.1856
2017-10-06	1	C4	281.4833	0.2128
2017-10-06	1	C4	363.4333	0.3096
2017-10-06	1	C4	434.5	0.3381
2017-10-06	1	C4	507.7	0.3488
2017-10-06	1	C6	0.0	0.0528
2017-10-06	1	C6	80.8	0.0698
2017-10-06	1	C6	126.5667	0.1422
2017-10-06	1	C6	162.5333	0.1454
2017-10-06	1	C6	201.0	0.1614
2017-10-06	1	C6	244.0167	0.1848
2017-10-06	1	C6	281.4833	0.2031
2017-10-06	1	C6	363.4333	0.2495
2017-10-06	1	C6	434.5	0.3137
2017-10-06	1	C6	507.7	0.3393
2017-10-06	1	D2	0.0	0.0485
2017-10-06	1	D2	80.8	0.0881
2017-10-06	1	D2	126.5667	0.132
2017-10-06	1	D2	162.5333	0.1434
2017-10-06	1	D2	201.0	0.1759
2017-10-06	1	D2	244.0167	0.1994
2017-10-06	1	D2	281.4833	0.2295
2017-10-06	1	D2	363.4333	0.3168
2017-10-06	1	D2	434.5	0.3416
2017-10-06	1	D2	507.7	0.3505
2017-10-06	1	D4	0.0	0.0515
2017-10-06	1	D4	80.8	0.0754
2017-10-06	1	D4	126.5667	0.1301
2017-10-06	1	D4	162.5333	0.1399
2017-10-06	1	D4	201.0	0.1613
2017-10-06	1	D4	244.0167	0.1816
2017-10-06	1	D4	281.4833	0.2092
2017-10-06	1	D4	363.4333	0.3045
2017-10-06	1	D4	434.5	0.3321
2017-10-06	1	D4	507.7	0.3415
2017-10-06	1	D6	0.0	0.0476
2017-10-06	1	D6	80.8	0.0909
2017-10-06	1	D6	126.5667	0.1368
2017-10-06	1	D6	162.5333	0.1477
2017-10-06	1	D6	201.0	0.1774
2017-10-06	1	D6	244.0167	0.1994
2017-10-06	1	D6	281.4833	0.2251
2017-10-06	1	D6	363.4333	0.3053
2017-10-06	1	D6	434.5	0.327
2017-10-06	1	D6	507.7	0.3354
2017-10-06	1	E2	0.0	0.0551
2017-10-06	1	E2	80.8	0.0686
2017-10-06	1	E2	126.5667	0.1375
2017-10-06	1	E2	162.5333	0.1429
2017-10-06	1	E2	201.0	0.1521
2017-10-06	1	E2	244.0167	0.111
2017-10-06	1	E2	281.4833	0.0755
2017-10-06	1	E2	363.4333	0.0607
2017-10-06	1	E2	434.5	0.0611
2017-10-06	1	E2	507.7	0.0657
2017-10-06	1	E4	0.0	0.0564
2017-10-06	1	E4	80.8	0.0656
2017-10-06	1	E4	126.5667	0.1268
2017-10-06	1	E4	162.5333	0.1286
2017-10-06	1	E4	201.0	0.1392
2017-10-06	1	E4	244.0167	0.1272
2017-10-06	1	E4	281.4833	0.0891
2017-10-06	1	E4	363.4333	0.06
2017-10-06	1	E4	434.5	0.0594
2017-10-06	1	E4	507.7	0.0604
2017-10-06	1	F2	0.0	0.0552
2017-10-06	1	F2	80.8	0.0738
2017-10-06	1	F2	126.5667	0.1415
2017-10-06	1	F2	162.5333	0.1484
2017-10-06	1	F2	201.0	0.1583
2017-10-06	1	F2	244.0167	0.109
2017-10-06	1	F2	281.4833	0.0739
2017-10-06	1	F2	363.4333	0.0613
2017-10-06	1	F2	434.5	0.0626
2017-10-06	1	F2	507.7	0.0672
2017-10-06	1	F4	0.0	0.0546
2017-10-06	1	F4	80.8	0.0639
2017-10-06	1	F4	126.5667	0.1193
2017-10-06	1	F4	162.5333	0.1272
2017-10-06	1	F4	201.0	0.1369
2017-10-06	1	F4	244.0167	0.1297
2017-10-06	1	F4	281.4833	0.0918
2017-10-06	1	F4	363.4333	0.0617
2017-10-06	1	F4	434.5	0.0619
2017-10-06	1	F4	507.7	0.0657
2017-10-06	1	G2	0.0	0.0558
2017-10-06	1	G2	80.8	0.0828
2017-10-06	1	G2	126.5667	0.1409
2017-10-06	1	G2	162.5333	0.1502
2017-10-06	1	G2	201.0	0.1528
2017-10-06	1	G2	244.0167	0.1056
2017-10-06	1	G2	281.4833	0.0739
2017-10-06	1	G2	363.4333	0.0601
2017-10-06	1	G2	434.5	0.0623
2017-10-06	1	G2	507.7	0.066
2017-10-06	1	G4	0.0	0.0555
2017-10-06	1	G4	80.8	0.0636
2017-10-06	1	G4	126.5667	0.118
2017-10-06	1	G4	162.5333	0.1263
2017-10-06	1	G4	201.0	0.1359
2017-10-06	1	G4	244.0167	0.1278
2017-10-06	1	G4	281.4833	0.0876
2017-10-06	1	G4	363.4333	0.0583
2017-10-06	1	G4	434.5	0.0587
2017-10-06	1	G4	507.7	0.0612
