well,strain,background,genotype,genotype_serA,medium,replicate,plate
B2,ecMK85,BW25113,WT,WT,rich_5mM,1,1
C2,ecMK85,BW25113,WT,WT,rich_5mM,2,1
D2,ecMK85,BW25113,WT,WT,rich_5mM,3,1
E2,ecMK210,BW25113,tdcG,WT,rich_5mM,1,1
F2,ecMK210,BW25113,tdcG,WT,rich_5mM,2,1
G2,ecMK210,BW25113,tdcG,WT,rich_5mM,3,1
B3,ecMK101,BW25113,sdaA,WT,rich_5mM,1,1
C3,ecMK101,BW25113,sdaA,WT,rich_5mM,2,1
D3,ecMK101,BW25113,sdaA,WT,rich_5mM,3,1
E3,ecMK105,BW25113,sdaA,serA,rich_5mM,1,1
F3,ecMK105,BW25113,sdaA,serA,rich_5mM,2,1
G3,ecMK105,BW25113,sdaA,serA,rich_5mM,3,1
B4,ecMK102,BW25113,sdaCB,WT,rich_5mM,1,1
C4,ecMK102,BW25113,sdaCB,WT,rich_5mM,2,1
D4,ecMK102,BW25113,sdaCB,WT,rich_5mM,3,1
E4,ecMK106,BW25113,sdaCB,serA,rich_5mM,1,1
F4,ecMK106,BW25113,sdaCB,serA,rich_5mM,2,1
G4,ecMK106,BW25113,sdaCB,serA,rich_5mM,3,1
B5,ecMK94,BW25113,WT,serA,rich_5mM,1,1
C5,ecMK94,BW25113,WT,serA,rich_5mM,2,1
D5,ecMK94,BW25113,WT,serA,rich_5mM,3,1
E5,ecMK211,BW25113,tdcG,serA,rich_5mM,1,1
F5,ecMK211,BW25113,tdcG,serA,rich_5mM,2,1
G5,ecMK211,BW25113,tdcG,serA,rich_5mM,3,1
B7,ecMK85,BW25113,WT,WT,lysis,1,1
C7,ecMK85,BW25113,WT,WT,lysis,2,1
D7,ecMK85,BW25113,WT,WT,lysis,3,1
E7,ecMK210,BW25113,tdcG,WT,lysis,1,1
F7,ecMK210,BW25113,tdcG,WT,lysis,2,1
G7,ecMK210,BW25113,tdcG,WT,lysis,3,1
B8,ecMK129,BW25113,gcvP,WT,lysis,1,1
C8,ecMK129,BW25113,gcvP,WT,lysis,2,1
D8,ecMK129,BW25113,gcvP,WT,lysis,3,1
E8,ecMK196,BW25113,gcvP_sdaC,WT,lysis,1,1
F8,ecMK196,BW25113,gcvP_sdaC,WT,lysis,2,1
G8,ecMK196,BW25113,gcvP_sdaC,WT,lysis,3,1
B9,ecMK207,MG1655,WT,WT,lysis,1,1
C9,ecMK207,MG1655,WT,WT,lysis,2,1
D9,ecMK207,MG1655,WT,WT,lysis,3,1
E9,ecMK209,MG1655,sdaCB,WT,lysis,1,1
F9,ecMK209,MG1655,sdaCB,WT,lysis,2,1
G9,ecMK209,MG1655,sdaCB,WT,lysis,3,1
B10,ecMK180,BW25113,sdaC,WT,lysis,1,1
C10,ecMK180,BW25113,sdaC,WT,lysis,2,1
D10,ecMK180,BW25113,sdaC,WT,lysis,3,1
