well,strain,genotype,plasmid,medium,replicate,plate
B2,ecMK136,WT,vector,lysis,1,1
C2,ecMK136,WT,vector,lysis,2,1
D2,ecMK136,WT,vector,lysis,3,1
E2,ecMK184,WT,sdaC,lysis,1,1
F2,ecMK184,WT,sdaC,lysis,2,1
G2,ecMK184,WT,sdaC,lysis,3,1
B3,ecMK141,sdaCB,vector,lysis,1,1
C3,ecMK141,sdaCB,vector,lysis,2,1
D3,ecMK141,sdaCB,vector,lysis,3,1
E3,ecMK185,sdaCB,sdaC,lysis,1,1
F3,ecMK185,sdaCB,sdaC,lysis,2,1
G3,ecMK185,sdaCB,sdaC,lysis,3,1
B4,ecMK190,sdaC,vector,lysis,1,1
C4,ecMK190,sdaC,vector,lysis,2,1
D4,ecMK190,sdaC,vector,lysis,3,1
E4,ecMK186,sdaC,sdaC,lysis,1,1
F4,ecMK186,sdaC,sdaC,lysis,2,1
G4,ecMK186,sdaC,sdaC,lysis,3,1
B5,ecMK221,WT,sdaC_E83X,lysis,1,1
C5,ecMK221,WT,sdaC_E83X,lysis,2,1
D5,ecMK221,WT,sdaC_E83X,lysis,3,1
E5,ecMK223,WT,yfiH,lysis,1,1
F5,ecMK223,WT,yfiH,lysis,2,1
G5,ecMK223,WT,yfiH,lysis,3,1
B6,ecMK222,sdaCB,sdaC_E83X,lysis,1,1
C6,ecMK222,sdaCB,sdaC_E83X,lysis,2,1
D6,ecMK222,sdaCB,sdaC_E83X,lysis,3,1
E6,ecMK224,sdaCB,yfiH,lysis,1,1
F6,ecMK224,sdaCB,yfiH,lysis,2,1
G6,ecMK224,sdaCB,yfiH,lysis,3,1
B7,ecMK218,sdaC,sdaC_E83X,lysis,1,1
C7,ecMK218,sdaC,sdaC_E83X,lysis,2,1
D7,ecMK218,sdaC,sdaC_E83X,lysis,3,1
E7,ecMK219,sdaC,yfiH,lysis,1,1
F7,ecMK219,sdaC,yfiH,lysis,2,1
G7,ecMK219,sdaC,yfiH,lysis,3,1
B9,ecMK85,WT,none,lysis,1,1
C9,ecMK85,WT,none,lysis,2,1
D9,ecMK85,WT,none,lysis,3,1
E9,ecMK180,sdaC,none,lysis,1,1
F9,ecMK180,sdaC,none,lysis,2,1
G9,ecMK180,sdaC,none,lysis,3,1
B10,ecMK225,sdaC_yfiH,none,lysis,1,1
C10,ecMK225,sdaC_yfiH,none,lysis,2,1
D10,ecMK225,sdaC_yfiH,none,lysis,3,1
E10,ecMK226,sdaB_yfiH,none,lysis,1,1
F10,ecMK226,sdaB_yfiH,none,lysis,2,1
G10,ecMK226,sdaB_yfiH,none,lysis,3,1
