date	plate	well	time	od
2017-11-21	1	B10	0.0	0.0402
2017-11-21	1	B10	83.05	0.0997
2017-11-21	1	B10	125.3	0.233
2017-11-21	1	B10	172.0833	0.5334
2017-11-21	1	B10	210.85	0.6788
2017-11-21	1	B10	250.3333	0.7576
2017-11-21	1	B10	324.4167	0.8436
2017-11-21	1	B10	364.25	0.8696
2017-11-21	1	B10	451.8833	0.9088
2017-11-21	1	B10	516.3833	0.9461
2017-11-21	1	B11	0.0	0.0422
2017-11-21	1	B11	83.05	0.098
2017-11-21	1	B11	125.3	0.2365
2017-11-21	1	B11	172.0833	0.5393
2017-11-21	1	B11	210.85	0.6615
2017-11-21	1	B11	250.3333	0.7264
2017-11-21	1	B11	324.4167	0.7481
2017-11-21	1	B11	364.25	0.7449
2017-11-21	1	B11	451.8833	0.737
2017-11-21	1	B11	516.3833	0.7362
2017-11-21	1	B6	0.0	0.05
2017-11-21	1	B6	83.05	0.0825
2017-11-21	1	B6	125.3	0.1594
2017-11-21	1	B6	172.0833	0.3525
2017-11-21	1	B6	210.85	0.5483
2017-11-21	1	B6	250.3333	0.6861
2017-11-21	1	B6	324.4167	0.8956
2017-11-21	1	B6	364.25	0.9647
2017-11-21	1	B6	451.8833	1.0688
2017-11-21	1	B6	516.3833	1.0781
2017-11-21	1	B7	0.0	0.0555
2017-11-21	1	B7	83.05	0.0839
2017-11-21	1	B7	125.3	0.1651
2017-11-21	1	B7	172.0833	0.3623
2017-11-21	1	B7	210.85	0.5509
2017-11-21	1	B7	250.3333	0.6809
2017-11-21	1	B7	324.4167	0.8843
2017-11-21	1	B7	364.25	0.9526
2017-11-21	1	B7	451.8833	1.0548
2017-11-21	1	B7	516.3833	1.0623
2017-11-21	1	B8	0.0	0.0693
2017-11-21	1	B8	83.05	0.0806
2017-11-21	1	B8	125.3	0.1446
2017-11-21	1	B8	172.0833	0.3244
2017-11-21	1	B8	210.85	0.5331
2017-11-21	1	B8	250.3333	0.6581
2017-11-21	1	B8	324.4167	0.8415
2017-11-21	1	B8	364.25	0.9061
2017-11-21	1	B8	451.8833	1.0104
2017-11-21	1	B8	516.3833	1.0223
2017-11-21	1	B9	0.0	0.0503
2017-11-21	1	B9	83.05	0.097
2017-11-21	1	B9	125.3	0.2217
2017-11-21	1	B9	172.0833	0.514
2017-11-21	1	B9	210.85	0.6853
2017-11-21	1	B9	250.3333	0.7642
2017-11-21	1	B9	324.4167	0.8518
2017-11-21	1	B9	364.25	0.8767
2017-11-21	1	B9	451.8833	0.9196
2017-11-21	1	B9	516.3833	0.9613
2017-11-21	1	C10	0.0	0.0421
2017-11-21	1	C10	83.05	0.0958
2017-11-21	1	C10	125.3	0.2262
2017-11-21	1	C10	172.0833	0.5151
2017-11-21	1	C10	210.85	0.676
2017-11-21	1	C10	250.3333	0.7595
2017-11-21	1	C10	324.4167	0.8533
2017-11-21	1	C10	364.25	0.8785
2017-11-21	1	C10	451.8833	0.9205
2017-11-21	1	C10	516.3833	0.9613
2017-11-21	1	C11	0.0	0.0434
2017-11-21	1	C11	83.05	0.0975
2017-11-21	1	C11	125.3	0.2362
2017-11-21	1	C11	172.0833	0.5419
2017-11-21	1	C11	210.85	0.665
2017-11-21	1	C11	250.3333	0.7312
2017-11-21	1	C11	324.4167	0.7554
2017-11-21	1	C11	364.25	0.754
2017-11-21	1	C11	451.8833	0.7464
2017-11-21	1	C11	516.3833	0.7444
2017-11-21	1	C6	0.0	0.0469
2017-11-21	1	C6	83.05	0.0784
2017-11-21	1	C6	125.3	0.1491
2017-11-21	1	C6	172.0833	0.3291
2017-11-21	1	C6	210.85	0.5326
2017-11-21	1	C6	250.3333	0.6761
2017-11-21	1	C6	324.4167	0.8878
2017-11-21	1	C6	364.25	0.9591
2017-11-21	1	C6	451.8833	1.0639
2017-11-21	1	C6	516.3833	1.0753
2017-11-21	1	C7	0.0	0.0578
2017-11-21	1	C7	83.05	0.0814
2017-11-21	1	C7	125.3	0.1568
2017-11-21	1	C7	172.0833	0.3483
