date	plate	well	time	od
2017-08-25	1	B11	0.0	0.042
2017-08-25	1	B11	83.3	0.0771
2017-08-25	1	B11	133.5667	0.1404
2017-08-25	1	B11	179.8833	0.2912
2017-08-25	1	B11	224.5833	0.3621
2017-08-25	1	B11	266.2667	0.4299
2017-08-25	1	B11	350.6833	0.466
2017-08-25	1	B11	415.8667	0.4589
2017-08-25	1	B11	474.1167	0.4529
2017-08-25	1	B9	0.0	0.0483
2017-08-25	1	B9	83.3	0.0973
2017-08-25	1	B9	133.5667	0.1779
2017-08-25	1	B9	179.8833	0.2302
2017-08-25	1	B9	224.5833	0.2819
2017-08-25	1	B9	266.2667	0.3525
2017-08-25	1	B9	350.6833	0.4057
2017-08-25	1	B9	415.8667	0.4131
2017-08-25	1	B9	474.1167	0.4254
2017-08-25	1	C11	0.0	0.0428
2017-08-25	1	C11	83.3	0.0754
2017-08-25	1	C11	133.5667	0.1371
2017-08-25	1	C11	179.8833	0.2775
2017-08-25	1	C11	224.5833	0.3374
2017-08-25	1	C11	266.2667	0.3943
2017-08-25	1	C11	350.6833	0.4263
2017-08-25	1	C11	415.8667	0.422
2017-08-25	1	C11	474.1167	0.416
2017-08-25	1	C9	0.0	0.0508
2017-08-25	1	C9	83.3	0.0983
2017-08-25	1	C9	133.5667	0.1752
2017-08-25	1	C9	179.8833	0.2173
2017-08-25	1	C9	224.5833	0.2653
2017-08-25	1	C9	266.2667	0.3248
2017-08-25	1	C9	350.6833	0.3708
2017-08-25	1	C9	415.8667	0.3786
2017-08-25	1	C9	474.1167	0.3881
2017-08-25	1	D11	0.0	0.0401
2017-08-25	1	D11	83.3	0.0754
2017-08-25	1	D11	133.5667	0.1366
2017-08-25	1	D11	179.8833	0.2805
2017-08-25	1	D11	224.5833	0.3474
2017-08-25	1	D11	266.2667	0.4114
2017-08-25	1	D11	350.6833	0.4471
2017-08-25	1	D11	415.8667	0.4429
2017-08-25	1	D11	474.1167	0.4362
2017-08-25	1	D9	0.0	0.0482
2017-08-25	1	D9	83.3	0.0962
2017-08-25	1	D9	133.5667	0.177
2017-08-25	1	D9	179.8833	0.2189
2017-08-25	1	D9	224.5833	0.2725
2017-08-25	1	D9	266.2667	0.3347
2017-08-25	1	D9	350.6833	0.3918
2017-08-25	1	D9	415.8667	0.4027
2017-08-25	1	D9	474.1167	0.4105
2017-08-25	1	E11	0.0	0.0401
2017-08-25	1	E11	83.3	0.0727
2017-08-25	1	E11	133.5667	0.1317
2017-08-25	1	E11	179.8833	0.2699
2017-08-25	1	E11	224.5833	0.3436
2017-08-25	1	E11	266.2667	0.4006
2017-08-25	1	E11	350.6833	0.4215
2017-08-25	1	E11	415.8667	0.4391
2017-08-25	1	E11	474.1167	0.4338
2017-08-25	1	E9	0.0	0.0525
2017-08-25	1	E9	83.3	0.0984
2017-08-25	1	E9	133.5667	0.1777
2017-08-25	1	E9	179.8833	0.2068
2017-08-25	1	E9	224.5833	0.1811
2017-08-25	1	E9	266.2667	0.2001
2017-08-25	1	E9	350.6833	0.3054
2017-08-25	1	E9	415.8667	0.3157
2017-08-25	1	E9	474.1167	0.3287
2017-08-25	1	F11	0.0	0.0452
2017-08-25	1	F11	83.3	0.077
2017-08-25	1	F11	133.5667	0.1392
2017-08-25	1	F11	179.8833	0.2776
2017-08-25	1	F11	224.5833	0.3522
2017-08-25	1	F11	266.2667	0.4088
2017-08-25	1	F11	350.6833	0.4279
2017-08-25	1	F11	415.8667	0.4449
2017-08-25	1	F11	474.1167	0.4391
2017-08-25	1	F9	0.0	0.0526
2017-08-25	1	F9	83.3	0.1
2017-08-25	1	F9	133.5667	0.1859
2017-08-25	1	F9	179.8833	0.2093
2017-08-25	1	F9	224.5833	0.1843
2017-08-25	1	F9	266.2667	0.2035
2017-08-25	1	F9	350.6833	0.3078
2017-08-25	1	F9	415.8667	0.3209
2017-08-25	1	F9	474.1167	0.3323
2017-08-25	1	G11	0.0	0.04
2017-08-25	1	G11	83.3	0.0753
2017-08-25	1	G11	133.5667	0.1379
2017-08-25	1	G11	179.8833	0.2773
2017-08-25	1	G11	224.5833	0.3553
2017-08-25	1	G11	266.2667	0.4126
2017-08-25	1	G11	350.6833	0.4313
2017-08-25	1	G11	415.8667	0.4476
2017-08-25	1	G11	474.1167	0.4415
2017-08-25	1	G9	0.0	0.0487
2017-08-25	1	G9	83.3	0.1015
2017-08-25	1	G9	133.5667	0.1814
2017-08-25	1	G9	179.8833	0.2127
2017-08-25	1	G9	224.5833	0.1823
2017-08-25	1	G9	266.2667	0.2027
2017-08-25	1	G9	350.6833	0.3077
2017-08-25	1	G9	415.8667	0.3202
2017-08-25	1	G9	474.1167	0.3334
