date	plate	well	time	od
2017-08-23	1	B10	0.0	0.0455
2017-08-23	1	B10	87.4167	0.1085
2017-08-23	1	B10	136.6333	0.1302
2017-08-23	1	B10	179.9	0.0834
2017-08-23	1	B10	220.4167	0.0599
2017-08-23	1	B10	268.5833	0.0584
2017-08-23	1	B10	363.45	0.0619
2017-08-23	1	B10	417.65	0.0659
2017-08-23	1	B10	465.05	0.0666
2017-08-23	1	B10	523.2167	0.0736
2017-08-23	1	B11	0.0	0.0408
2017-08-23	1	B11	87.4167	0.0633
2017-08-23	1	B11	136.6333	0.1011
2017-08-23	1	B11	179.9	0.1498
2017-08-23	1	B11	220.4167	0.2034
2017-08-23	1	B11	268.5833	0.3012
2017-08-23	1	B11	363.45	0.3429
2017-08-23	1	B11	417.65	0.3668
2017-08-23	1	B11	465.05	0.3693
2017-08-23	1	B11	523.2167	0.3639
2017-08-23	1	B2	0.0	0.0573
2017-08-23	1	B2	87.4167	0.0897
2017-08-23	1	B2	136.6333	0.1579
2017-08-23	1	B2	179.9	0.2075
2017-08-23	1	B2	220.4167	0.2541
2017-08-23	1	B2	268.5833	0.3105
2017-08-23	1	B2	363.45	0.3795
2017-08-23	1	B2	417.65	0.3956
2017-08-23	1	B2	465.05	0.4009
2017-08-23	1	B2	523.2167	0.407
2017-08-23	1	B3	0.0	0.0599
2017-08-23	1	B3	87.4167	0.0891
2017-08-23	1	B3	136.6333	0.1589
2017-08-23	1	B3	179.9	0.2034
2017-08-23	1	B3	220.4167	0.249
2017-08-23	1	B3	268.5833	0.2992
2017-08-23	1	B3	363.45	0.3787
2017-08-23	1	B3	417.65	0.3944
2017-08-23	1	B3	465.05	0.3999
2017-08-23	1	B3	523.2167	0.4066
2017-08-23	1	B4	0.0	0.0621
2017-08-23	1	B4	87.4167	0.0908
2017-08-23	1	B4	136.6333	0.1769
2017-08-23	1	B4	179.9	0.2385
2017-08-23	1	B4	220.4167	0.2818
2017-08-23	1	B4	268.5833	0.3592
2017-08-23	1	B4	363.45	0.4148
2017-08-23	1	B4	417.65	0.4242
2017-08-23	1	B4	465.05	0.4293
2017-08-23	1	B4	523.2167	0.4361
2017-08-23	1	B5	0.0	0.0586
2017-08-23	1	B5	87.4167	0.0921
2017-08-23	1	B5	136.6333	0.1357
2017-08-23	1	B5	179.9	0.1824
2017-08-23	1	B5	220.4167	0.207
2017-08-23	1	B5	268.5833	0.2662
2017-08-23	1	B5	363.45	0.346
2017-08-23	1	B5	417.65	0.3598
2017-08-23	1	B5	465.05	0.3657
2017-08-23	1	B5	523.2167	0.3761
2017-08-23	1	B6	0.0	0.0575
2017-08-23	1	B6	87.4167	0.0598
2017-08-23	1	B6	136.6333	0.0991
2017-08-23	1	B6	179.9	0.1483
2017-08-23	1	B6	220.4167	0.2053
2017-08-23	1	B6	268.5833	0.2934
2017-08-23	1	B6	363.45	0.3583
2017-08-23	1	B6	417.65	0.386
2017-08-23	1	B6	465.05	0.3804
2017-08-23	1	B6	523.2167	0.3749
2017-08-23	1	B7	0.0	0.0415
2017-08-23	1	B7	87.4167	0.1083
2017-08-23	1	B7	136.6333	0.1698
2017-08-23	1	B7	179.9	0.1631
2017-08-23	1	B7	220.4167	0.1045
2017-08-23	1	B7	268.5833	0.0733
2017-08-23	1	B7	363.45	0.0711
2017-08-23	1	B7	417.65	0.0739
2017-08-23	1	B7	465.05	0.0755
2017-08-23	1	B7	523.2167	0.0855
2017-08-23	1	B8	0.0	0.0466
2017-08-23	1	B8	87.4167	0.1098
2017-08-23	1	B8	136.6333	0.1693
2017-08-23	1	B8	179.9	0.1752
2017-08-23	1	B8	220.4167	0.1311
2017-08-23	1	B8	268.5833	0.0992
2017-08-23	1	B8	363.45	0.1218
2017-08-23	1	B8	417.65	0.1784
2017-08-23	1	B8	465.05	0.2414
2017-08-23	1	B8	523.2167	0.2561
2017-08-23	1	B9	0.0	0.0408
2017-08-23	1	B9	87.4167	0.1068
2017-08-23	1	B9	136.6333	0.1963
2017-08-23	1	B9	179.9	0.2162
2017-08-23	1	B9	220.4167	0.1651
2017-08-23	1	B9	268.5833	0.187
2017-08-23	1	B9	363.45	0.2949
2017-08-23	1	B9	417.65	0.306
2017-08-23	1	B9	465.05	0.3188
2017-08-23	1	B9	523.2167	0.3321
2017-08-23	1	C10	0.0	0.0622
2017-08-23	1	C10	87.4167	0.1118
2017-08-23	1	C10	136.6333	0.1316
2017-08-23	1	C10	179.9	0.0747
2017-08-23	1	C10	220.4167	0.0607
2017-08-23	1	C10	268.5833	0.059
2017-08-23	1	C10	363.45	0.0635
2017-08-23	1	C10	417.65	0.0662
2017-08-23	1	C10	465.05	0.067
2017-08-23	1	C10	523.2167	0.0721
2017-08-23	1	C11	0.0	0.0405
2017-08-23	1	C11	87.4167	0.066
2017-08-23	1	C11	136.6333	0.1059
2017-08-23	1	C11	179.9	0.1555
2017-08-23	1	C11	220.4167	0.2072
2017-08-23	1	C11	268.5833	0.3044
2017-08-23	1	C11	363.45	0.3463
2017-08-23	1	C11	417.65	0.3698
2017-08-23	1	C11	465.05	0.3712
2017-08-23	1	C11	523.2167	0.3666
2017-08-23	1	C2	0.0	0.0551
2017-08-23	1	C2	87.4167	0.0842
2017-08-23	1	C2	136.6333	0.1521
2017-08-23	1	C2	179.9	0.1999
2017-08-23	1	C2	220.4167	0.2447
2017-08-23	1	C2	268.5833	0.302
2017-08-23	1	C2	363.45	0.3734
2017-08-23	1	C2	417.65	0.387
2017-08-23	1	C2	465.05	0.3931
2017-08-23	1	C2	523.2167	0.3996
2017-08-23	1	C3	0.0	0.0548
2017-08-23	1	C3	87.4167	0.0843
2017-08-23	1	C3	136.6333	0.1557
2017-08-23	1	C3	179.9	0.1991
2017-08-23	1	C3	220.4167	0.2433
2017-08-23	1	C3	268.5833	0.2956
2017-08-23	1	C3	363.45	0.3762
2017-08-23	1	C3	417.65	0.3888
2017-08-23	1	C3	465.05	0.395
2017-08-23	1	C3	523.2167	0.4019
2017-08-23	1	C4	0.0	0.0559
2017-08-23	1	C4	87.4167	0.087
2017-08-23	1	C4	136.6333	0.1728
2017-08-23	1	C4	179.9	0.2323
2017-08-23	1	C4	220.4167	0.2748
2017-08-23	1	C4	268.5833	0.3488
2017-08-23	1	C4	363.45	0.4076
2017-08-23	1	C4	417.65	0.416
2017-08-23	1	C4	465.05	0.4216
2017-08-23	1	C4	523.2167	0.4288
2017-08-23	1	C5	0.0	0.0559
2017-08-23	1	C5	87.4167	0.0886
2017-08-23	1	C5	136.6333	0.1296
2017-08-23	1	C5	179.9	0.1722
2017-08-23	1	C5	220.4167	0.2006
2017-08-23	1	C5	268.5833	0.2421
2017-08-23	1	C5	363.45	0.3348
2017-08-23	1	C5	417.65	0.3473
2017-08-23	1	C5	465.05	0.3552
2017-08-23	1	C5	523.2167	0.365
2017-08-23	1	C6	0.0	0.056
2017-08-23	1	C6	87.4167	0.0594
2017-08-23	1	C6	136.6333	0.0959
2017-08-23	1	C6	179.9	0.1424
2017-08-23	1	C6	220.4167	0.1964
2017-08-23	1	C6	268.5833	0.2798
2017-08-23	1	C6	363.45	0.3483
2017-08-23	1	C6	417.65	0.3765
2017-08-23	1	C6	465.05	0.372
2017-08-23	1	C6	523.2167	0.3671
2017-08-23	1	C7	0.0	0.042
2017-08-23	1	C7	87.4167	0.1105
2017-08-23	1	C7	136.6333	0.1697
2017-08-23	1	C7	179.9	0.1616
2017-08-23	1	C7	220.4167	0.1148
2017-08-23	1	C7	268.5833	0.0811
2017-08-23	1	C7	363.45	0.0744
2017-08-23	1	C7	417.65	0.0779
2017-08-23	1	C7	465.05	0.0806
2017-08-23	1	C7	523.2167	0.0879
2017-08-23	1	C8	0.0	0.0611
2017-08-23	1	C8	87.4167	0.1136
2017-08-23	1	C8	136.6333	0.1678
2017-08-23	1	C8	179.9	0.1704
2017-08-23	1	C8	220.4167	0.1322
2017-08-23	1	C8	268.5833	0.1057
2017-08-23	1	C8	363.45	0.1351
2017-08-23	1	C8	417.65	0.194
2017-08-23	1	C8	465.05	0.2433
2017-08-23	1	C8	523.2167	0.2608
2017-08-23	1	C9	0.0	0.0445
2017-08-23	1	C9	87.4167	0.1116
2017-08-23	1	C9	136.6333	0.1967
2017-08-23	1	C9	179.9	0.208
2017-08-23	1	C9	220.4167	0.1573
2017-08-23	1	C9	268.5833	0.1611
2017-08-23	1	C9	363.45	0.2724
2017-08-23	1	C9	417.65	0.2866
2017-08-23	1	C9	465.05	0.2978
2017-08-23	1	C9	523.2167	0.3134
2017-08-23	1	D10	0.0	0.0618
2017-08-23	1	D10	87.4167	0.1114
2017-08-23	1	D10	136.6333	0.1256
2017-08-23	1	D10	179.9	0.071
2017-08-23	1	D10	220.4167	0.06
2017-08-23	1	D10	268.5833	0.0579
2017-08-23	1	D10	363.45	0.0637
2017-08-23	1	D10	417.65	0.0655
2017-08-23	1	D10	465.05	0.0689
2017-08-23	1	D10	523.2167	0.0723
2017-08-23	1	D11	0.0	0.0426
2017-08-23	1	D11	87.4167	0.0669
2017-08-23	1	D11	136.6333	0.109
2017-08-23	1	D11	179.9	0.1583
2017-08-23	1	D11	220.4167	0.2068
2017-08-23	1	D11	268.5833	0.3051
2017-08-23	1	D11	363.45	0.343
2017-08-23	1	D11	417.65	0.3671
2017-08-23	1	D11	465.05	0.3672
2017-08-23	1	D11	523.2167	0.3624
2017-08-23	1	D2	0.0	0.0548
2017-08-23	1	D2	87.4167	0.0949
2017-08-23	1	D2	136.6333	0.1579
2017-08-23	1	D2	179.9	0.2086
2017-08-23	1	D2	220.4167	0.2524
2017-08-23	1	D2	268.5833	0.3125
2017-08-23	1	D2	363.45	0.3746
2017-08-23	1	D2	417.65	0.3878
2017-08-23	1	D2	465.05	0.3934
2017-08-23	1	D2	523.2167	0.3994
2017-08-23	1	D3	0.0	0.0559
2017-08-23	1	D3	87.4167	0.0938
2017-08-23	1	D3	136.6333	0.1587
2017-08-23	1	D3	179.9	0.2042
2017-08-23	1	D3	220.4167	0.2497
2017-08-23	1	D3	268.5833	0.2999
2017-08-23	1	D3	363.45	0.3717
2017-08-23	1	D3	417.65	0.3873
2017-08-23	1	D3	465.05	0.3934
2017-08-23	1	D3	523.2167	0.3992
2017-08-23	1	D4	0.0	0.0561
2017-08-23	1	D4	87.4167	0.0969
2017-08-23	1	D4	136.6333	0.1785
2017-08-23	1	D4	179.9	0.2406
2017-08-23	1	D4	220.4167	0.2835
2017-08-23	1	D4	268.5833	0.3612
2017-08-23	1	D4	363.45	0.4106
2017-08-23	1	D4	417.65	0.4192
2017-08-23	1	D4	465.05	0.4246
2017-08-23	1	D4	523.2167	0.4311
2017-08-23	1	D5	0.0	0.0554
2017-08-23	1	D5	87.4167	0.0968
2017-08-23	1	D5	136.6333	0.1359
2017-08-23	1	D5	179.9	0.1836
2017-08-23	1	D5	220.4167	0.2128
2017-08-23	1	D5	268.5833	0.2795
2017-08-23	1	D5	363.45	0.3454
2017-08-23	1	D5	417.65	0.3579
2017-08-23	1	D5	465.05	0.3665
2017-08-23	1	D5	523.2167	0.3766
2017-08-23	1	D6	0.0	0.0576
2017-08-23	1	D6	87.4167	0.0611
2017-08-23	1	D6	136.6333	0.101
2017-08-23	1	D6	179.9	0.1523
2017-08-23	1	D6	220.4167	0.2073
2017-08-23	1	D6	268.5833	0.2962
2017-08-23	1	D6	363.45	0.3526
2017-08-23	1	D6	417.65	0.3758
2017-08-23	1	D6	465.05	0.3697
2017-08-23	1	D6	523.2167	0.3642
2017-08-23	1	D7	0.0	0.0519
2017-08-23	1	D7	87.4167	0.1119
2017-08-23	1	D7	136.6333	0.1697
2017-08-23	1	D7	179.9	0.1526
2017-08-23	1	D7	220.4167	0.0978
2017-08-23	1	D7	268.5833	0.0727
2017-08-23	1	D7	363.45	0.0705
2017-08-23	1	D7	417.65	0.0725
2017-08-23	1	D7	465.05	0.0771
2017-08-23	1	D7	523.2167	0.0813
2017-08-23	1	D8	0.0	0.0578
2017-08-23	1	D8	87.4167	0.1149
2017-08-23	1	D8	136.6333	0.1679
2017-08-23	1	D8	179.9	0.1671
2017-08-23	1	D8	220.4167	0.1243
2017-08-23	1	D8	268.5833	0.0986
2017-08-23	1	D8	363.45	0.1016
2017-08-23	1	D8	417.65	0.1333
2017-08-23	1	D8	465.05	0.1822
2017-08-23	1	D8	523.2167	0.2391
2017-08-23	1	D9	0.0	0.0624
2017-08-23	1	D9	87.4167	0.1154
2017-08-23	1	D9	136.6333	0.1949
2017-08-23	1	D9	179.9	0.1918
2017-08-23	1	D9	220.4167	0.1353
