date	plate	well	time	od
2018-04-13	1	B2	0.0	0.062
2018-04-13	1	B2	92.0667	0.072
2018-04-13	1	B2	131.0667	0.1363
2018-04-13	1	B2	172.35	0.1751
2018-04-13	1	B2	200.9667	0.2052
2018-04-13	1	B2	235.6333	0.2166
2018-04-13	1	B2	289.5167	0.2879
2018-04-13	1	B2	351.9833	0.3309
2018-04-13	1	B2	432.7667	0.3621
2018-04-13	1	B4	0.0	0.0547
2018-04-13	1	B4	92.0667	0.1072
2018-04-13	1	B4	131.0667	0.1576
2018-04-13	1	B4	172.35	0.1435
2018-04-13	1	B4	200.9667	0.091
2018-04-13	1	B4	235.6333	0.0653
2018-04-13	1	B4	289.5167	0.0611
2018-04-13	1	B4	351.9833	0.0617
2018-04-13	1	B4	432.7667	0.0648
2018-04-13	1	B6	0.0	0.0571
2018-04-13	1	B6	92.0667	0.1196
2018-04-13	1	B6	131.0667	0.1676
2018-04-13	1	B6	172.35	0.2188
2018-04-13	1	B6	200.9667	0.2335
2018-04-13	1	B6	235.6333	0.2792
2018-04-13	1	B6	289.5167	0.3316
2018-04-13	1	B6	351.9833	0.3495
2018-04-13	1	B6	432.7667	0.3535
2018-04-13	1	C2	0.0	0.0552
2018-04-13	1	C2	92.0667	0.1151
2018-04-13	1	C2	131.0667	0.1613
2018-04-13	1	C2	172.35	0.2146
2018-04-13	1	C2	200.9667	0.2353
2018-04-13	1	C2	235.6333	0.266
2018-04-13	1	C2	289.5167	0.3277
2018-04-13	1	C2	351.9833	0.3476
2018-04-13	1	C2	432.7667	0.3685
2018-04-13	1	C4	0.0	0.0567
2018-04-13	1	C4	92.0667	0.1099
2018-04-13	1	C4	131.0667	0.1568
2018-04-13	1	C4	172.35	0.1407
2018-04-13	1	C4	200.9667	0.0903
2018-04-13	1	C4	235.6333	0.0669
2018-04-13	1	C4	289.5167	0.0627
2018-04-13	1	C4	351.9833	0.063
2018-04-13	1	C4	432.7667	0.0678
2018-04-13	1	C6	0.0	0.0484
2018-04-13	1	C6	92.0667	0.1151
2018-04-13	1	C6	131.0667	0.1618
2018-04-13	1	C6	172.35	0.217
2018-04-13	1	C6	200.9667	0.2366
2018-04-13	1	C6	235.6333	0.2841
2018-04-13	1	C6	289.5167	0.3349
2018-04-13	1	C6	351.9833	0.3561
2018-04-13	1	C6	432.7667	0.3581
2018-04-13	1	D2	0.0	0.0587
2018-04-13	1	D2	92.0667	0.1031
2018-04-13	1	D2	131.0667	0.1546
2018-04-13	1	D2	172.35	0.2089
2018-04-13	1	D2	200.9667	0.2348
2018-04-13	1	D2	235.6333	0.2647
2018-04-13	1	D2	289.5167	0.3255
2018-04-13	1	D2	351.9833	0.3529
2018-04-13	1	D2	432.7667	0.3785
2018-04-13	1	D4	0.0	0.0536
2018-04-13	1	D4	92.0667	0.1129
2018-04-13	1	D4	131.0667	0.1566
2018-04-13	1	D4	172.35	0.1252
2018-04-13	1	D4	200.9667	0.081
2018-04-13	1	D4	235.6333	0.0632
2018-04-13	1	D4	289.5167	0.0609
2018-04-13	1	D4	351.9833	0.062
2018-04-13	1	D4	432.7667	0.0656
2018-04-13	1	D6	0.0	0.0469
2018-04-13	1	D6	92.0667	0.1115
2018-04-13	1	D6	131.0667	0.162
2018-04-13	1	D6	172.35	0.2153
2018-04-13	1	D6	200.9667	0.2363
2018-04-13	1	D6	235.6333	0.2854
2018-04-13	1	D6	289.5167	0.3382
2018-04-13	1	D6	351.9833	0.3602
2018-04-13	1	D6	432.7667	0.3611
2018-04-13	1	E2	0.0	0.0579
2018-04-13	1	E2	92.0667	0.1063
2018-04-13	1	E2	131.0667	0.1578
2018-04-13	1	E2	172.35	0.1432
2018-04-13	1	E2	200.9667	0.0869
2018-04-13	1	E2	235.6333	0.062
2018-04-13	1	E2	289.5167	0.0592
2018-04-13	1	E2	351.9833	0.0603
2018-04-13	1	E2	432.7667	0.0631
2018-04-13	1	E4	0.0	0.0522
2018-04-13	1	E4	92.0667	0.1145
2018-04-13	1	E4	131.0667	0.1661
2018-04-13	1	E4	172.35	0.2154
2018-04-13	1	E4	200.9667	0.2327
2018-04-13	1	E4	235.6333	0.2708
2018-04-13	1	E4	289.5167	0.327
2018-04-13	1	E4	351.9833	0.3508
2018-04-13	1	E4	432.7667	0.3745
2018-04-13	1	F2	0.0	0.0601
2018-04-13	1	F2	92.0667	0.1193
2018-04-13	1	F2	131.0667	0.1678
2018-04-13	1	F2	172.35	0.1645
2018-04-13	1	F2	200.9667	0.1139
2018-04-13	1	F2	235.6333	0.0776
2018-04-13	1	F2	289.5167	0.0678
2018-04-13	1	F2	351.9833	0.0679
2018-04-13	1	F2	432.7667	0.073
2018-04-13	1	F4	0.0	0.0566
2018-04-13	1	F4	92.0667	0.1091
2018-04-13	1	F4	131.0667	0.1663
2018-04-13	1	F4	172.35	0.2171
2018-04-13	1	F4	200.9667	0.2235
2018-04-13	1	F4	235.6333	0.2581
2018-04-13	1	F4	289.5167	0.3353
2018-04-13	1	F4	351.9833	0.3669
2018-04-13	1	F4	432.7667	0.3743
2018-04-13	1	G2	0.0	0.0604
2018-04-13	1	G2	92.0667	0.1412
2018-04-13	1	G2	131.0667	0.1764
2018-04-13	1	G2	172.35	0.1525
2018-04-13	1	G2	200.9667	0.1052
2018-04-13	1	G2	235.6333	0.0731
2018-04-13	1	G2	289.5167	0.0663
2018-04-13	1	G2	351.9833	0.0677
2018-04-13	1	G2	432.7667	0.0735
2018-04-13	1	G4	0.0	0.0578
2018-04-13	1	G4	92.0667	0.1224
2018-04-13	1	G4	131.0667	0.1738
2018-04-13	1	G4	172.35	0.2253
2018-04-13	1	G4	200.9667	0.243
2018-04-13	1	G4	235.6333	0.28
2018-04-13	1	G4	289.5167	0.3365
2018-04-13	1	G4	351.9833	0.3593
2018-04-13	1	G4	432.7667	0.3869
