date	plate	well	time	od
2018-03-20	1	B10	0.0	0.0495
2018-03-20	1	B10	79.1333	0.0771
2018-03-20	1	B10	123.95	0.1469
2018-03-20	1	B10	168.5833	0.164
2018-03-20	1	B10	208.0667	0.0928
2018-03-20	1	B10	249.7667	0.059
2018-03-20	1	B10	307.1	0.0545
2018-03-20	1	B10	368.2833	0.0555
2018-03-20	1	B10	431.3667	0.0564
2018-03-20	1	B2	0.0	0.0471
2018-03-20	1	B2	79.1333	0.0858
2018-03-20	1	B2	123.95	0.144
2018-03-20	1	B2	168.5833	0.1934
2018-03-20	1	B2	208.0667	0.2024
2018-03-20	1	B2	249.7667	0.2263
2018-03-20	1	B2	307.1	0.3043
2018-03-20	1	B2	368.2833	0.3313
2018-03-20	1	B2	431.3667	0.3591
2018-03-20	1	B3	0.0	0.0542
2018-03-20	1	B3	79.1333	0.0772
2018-03-20	1	B3	123.95	0.1329
2018-03-20	1	B3	168.5833	0.1401
2018-03-20	1	B3	208.0667	0.0799
2018-03-20	1	B3	249.7667	0.0629
2018-03-20	1	B3	307.1	0.0556
2018-03-20	1	B3	368.2833	0.0557
2018-03-20	1	B3	431.3667	0.057
2018-03-20	1	B4	0.0	0.0442
2018-03-20	1	B4	79.1333	0.0881
2018-03-20	1	B4	123.95	0.1439
2018-03-20	1	B4	168.5833	0.1413
2018-03-20	1	B4	208.0667	0.1005
2018-03-20	1	B4	249.7667	0.0761
2018-03-20	1	B4	307.1	0.0709
2018-03-20	1	B4	368.2833	0.0738
2018-03-20	1	B4	431.3667	0.0773
2018-03-20	1	B5	0.0	0.0429
2018-03-20	1	B5	79.1333	0.089
2018-03-20	1	B5	123.95	0.1497
2018-03-20	1	B5	168.5833	0.1914
2018-03-20	1	B5	208.0667	0.202
2018-03-20	1	B5	249.7667	0.226
2018-03-20	1	B5	307.1	0.2962
2018-03-20	1	B5	368.2833	0.3188
2018-03-20	1	B5	431.3667	0.3387
2018-03-20	1	B6	0.0	0.0433
2018-03-20	1	B6	79.1333	0.0831
2018-03-20	1	B6	123.95	0.1422
2018-03-20	1	B6	168.5833	0.137
2018-03-20	1	B6	208.0667	0.0904
2018-03-20	1	B6	249.7667	0.0689
2018-03-20	1	B6	307.1	0.0632
2018-03-20	1	B6	368.2833	0.0634
2018-03-20	1	B6	431.3667	0.0658
2018-03-20	1	B7	0.0	0.0421
2018-03-20	1	B7	79.1333	0.083
2018-03-20	1	B7	123.95	0.1454
2018-03-20	1	B7	168.5833	0.1433
2018-03-20	1	B7	208.0667	0.095
2018-03-20	1	B7	249.7667	0.0697
2018-03-20	1	B7	307.1	0.0634
2018-03-20	1	B7	368.2833	0.0637
2018-03-20	1	B7	431.3667	0.0655
2018-03-20	1	B9	0.0	0.0547
2018-03-20	1	B9	79.1333	0.0812
2018-03-20	1	B9	123.95	0.1519
2018-03-20	1	B9	168.5833	0.1888
2018-03-20	1	B9	208.0667	0.1929
2018-03-20	1	B9	249.7667	0.2185
2018-03-20	1	B9	307.1	0.3097
2018-03-20	1	B9	368.2833	0.3422
2018-03-20	1	B9	431.3667	0.3528
2018-03-20	1	C10	0.0	0.0516
2018-03-20	1	C10	79.1333	0.0931
2018-03-20	1	C10	123.95	0.1533
2018-03-20	1	C10	168.5833	0.15
2018-03-20	1	C10	208.0667	0.0913
2018-03-20	1	C10	249.7667	0.065
2018-03-20	1	C10	307.1	0.0597
2018-03-20	1	C10	368.2833	0.0606
2018-03-20	1	C10	431.3667	0.0616
2018-03-20	1	C2	0.0	0.0466
2018-03-20	1	C2	79.1333	0.0821
2018-03-20	1	C2	123.95	0.1413
2018-03-20	1	C2	168.5833	0.1853
2018-03-20	1	C2	208.0667	0.2002
2018-03-20	1	C2	249.7667	0.2239
2018-03-20	1	C2	307.1	0.3069
