well,Ct
B1,20.560
B2,NA
B3,22.583
B4,NA
B5,31.702
B6,21.354
B7,13.850
B8,23.065
B9,13.079
B10,16.508
B11,20.273
B12,23.891
C1,18.730
C2,NA
C3,21.792
C4,NA
C5,30.601
C6,21.476
C7,14.570
C8,22.910
D1,18.702
D2,20.132
D3,NA
D4,NA
D5,NA
D6,22.418
D7,34.376
D8,NA
D9,13.855
D10,17.536
D11,21.358
D12,24.766
E1,18.572
E2,20.281
E3,NA
E4,32.445
E5,NA
E6,21.529
E7,33.211
E8,NA
F1,14.045
F2,14.183
F3,14.560
F4,13.040
F5,29.891
F6,17.875
F7,20.905
F8,17.817
F9,13.472
F10,17.027
F11,21.556
F12,25.134
G1,12.573
G2,12.967
G3,13.569
G4,12.098
G5,NA
G6,18.294
G7,20.297
G8,18.138
